Feature (description),Attribute,F,T
C_D_C0863146 (Yellow color on exam),M,0.9199,0.9812
C_D_C0863146 (Yellow color on exam),N,0.0006,0.0001
C_D_C0863146 (Yellow color on exam),P,0.0795,0.0187
C_D_C0948106 (Rupture of Membranes),M,0.7206,0.8485
C_D_C0948106 (Rupture of Membranes),N,0.0017,0.0017
C_D_C0948106 (Rupture of Membranes),P,0.2776,0.1498
C_D_C1260880 (Rhinorrhea),M,0.7788,0.9112
C_D_C1260880 (Rhinorrhea),N,0.0173,0.0257
C_D_C1260880 (Rhinorrhea),P,0.2039,0.0631
C_D_C1261031 (Platelet morphology - result),M,0.9453,0.9918
C_D_C1261031 (Platelet morphology - result),N,0.0006,0
C_D_C1261031 (Platelet morphology - result),P,0.0541,0.0082
C_D_C1261327 (Family history of asthma),M,0.9556,0.9923
C_D_C1261327 (Family history of asthma),N,0.0029,0.0006
C_D_C1261327 (Family history of asthma),P,0.0415,0.0072
C_D_C1277295 (Cough with fever),M,0.9839,0.9979
C_D_C1277295 (Cough with fever),N,0.0012,0.0006
C_D_C1277295 (Cough with fever),P,0.015,0.0015
C_D_C1299487 (Patient name),M,0.9764,0.9527
C_D_C1299487 (Patient name),N,0.0006,0
C_D_C1299487 (Patient name),P,0.023,0.0472
C_D_C1320474 (Nuchal Rigidity),M,0.9695,0.9929
C_D_C1320474 (Nuchal Rigidity),N,0.0259,0.006
C_D_C1320474 (Nuchal Rigidity),P,0.0046,0.001
C_D_C1321013 (Hydration status),M,0.8836,0.9734
C_D_C1321013 (Hydration status),N,0.0006,0.0002
C_D_C1321013 (Hydration status),P,0.1158,0.0264
C_D_C1363945 (Therapy Object (animal model)),M,0.6711,0.8677
C_D_C1363945 (Therapy Object (animal model)),N,0.0023,0.0011
C_D_C1363945 (Therapy Object (animal model)),P,0.3266,0.1312
C_D_C1366940 (Tattoo),M,0.9712,0.9378
C_D_C1366940 (Tattoo),N,0.0006,0
C_D_C1366940 (Tattoo),P,0.0282,0.0622
C_D_C1444775 (Sharp sensation quality),M,0.9873,0.9522
C_D_C1444775 (Sharp sensation quality),N,0.0006,0.0007
C_D_C1444775 (Sharp sensation quality),P,0.0121,0.047
C_D_C1446409 (Positive),M,0.7385,0.8314
C_D_C1446409 (Positive),N,0.0242,0.0503
C_D_C1446409 (Positive),P,0.2373,0.1183
C_D_C1457887 (Symptoms),M,0.2788,0.4689
C_D_C1457887 (Symptoms),N,0.0369,0.0529
C_D_C1457887 (Symptoms),P,0.6843,0.4782
C_D_C1504561 (Hypophagia),M,0.9793,0.9961
C_D_C1504561 (Hypophagia),N,0.0006,0
C_D_C1504561 (Hypophagia),P,0.0202,0.0039
C_D_C1509143 (Physical assessment findings),M,0.6688,0.8397
C_D_C1509143 (Physical assessment findings),N,0.0109,0.0137
C_D_C1509143 (Physical assessment findings),P,0.3203,0.1466
C_D_C1513302 (Mild Adverse Event),M,0.6227,0.6968
C_D_C1513302 (Mild Adverse Event),N,0.0012,0.0022
C_D_C1513302 (Mild Adverse Event),P,0.3762,0.301
C_D_C1514241 (Positive Finding),M,0.8099,0.8661
C_D_C1514241 (Positive Finding),N,0.0202,0.0486
C_D_C1514241 (Positive Finding),P,0.1699,0.0853
C_D_C1546419 (Ambulatory Status - Oxygen therapy),M,0.6999,0.9342
C_D_C1546419 (Ambulatory Status - Oxygen therapy),N,0.0006,0.0001
C_D_C1546419 (Ambulatory Status - Oxygen therapy),P,0.2995,0.0656
C_D_C1548428 (Referral type - Psychiatric),M,0.5916,0.5044
C_D_C1548428 (Referral type - Psychiatric),N,0.0012,0.001
C_D_C1548428 (Referral type - Psychiatric),P,0.4073,0.4946
C_D_C1550457 (Normal Observation Interpretation),M,0.0956,0.1585
C_D_C1550457 (Normal Observation Interpretation),N,0.0138,0.0114
C_D_C1550457 (Normal Observation Interpretation),P,0.8906,0.8302
C_D_C1551394 (normal Device Alert Level),M,0.0956,0.1585
C_D_C1551394 (normal Device Alert Level),N,0.0138,0.0114
C_D_C1551394 (normal Device Alert Level),P,0.8906,0.8302
C_D_C1551395 (Device Alert Level - Serious),M,0.9551,0.98
C_D_C1551395 (Device Alert Level - Serious),N,0.0035,0.0023
C_D_C1551395 (Device Alert Level - Serious),P,0.0415,0.0178
C_D_C1551396 (DeviceAlertLevel - Critical),M,0.9343,0.9906
C_D_C1551396 (DeviceAlertLevel - Critical),N,0.0006,0.0003
C_D_C1551396 (DeviceAlertLevel - Critical),P,0.0651,0.0091
C_D_C1552745 (Equipment Alert Level - Serious),M,0.9551,0.98
C_D_C1552745 (Equipment Alert Level - Serious),N,0.0035,0.0023
C_D_C1552745 (Equipment Alert Level - Serious),P,0.0415,0.0178
C_D_C1554187 (Gender Status - Intact),M,0.2967,0.3691
C_D_C1554187 (Gender Status - Intact),N,0.0017,0.0027
C_D_C1554187 (Gender Status - Intact),P,0.7016,0.6281
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),M,0.6164,0.8354
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),N,0.0052,0.0028
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),P,0.3785,0.1618
C_D_C1557397 (Adverse Event Associated with Pain),M,0.7523,0.4793
C_D_C1557397 (Adverse Event Associated with Pain),N,0.053,0.1051
C_D_C1557397 (Adverse Event Associated with Pain),P,0.1947,0.4156
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),M,0.1135,0.1984
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),N,0.0012,0.0006
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),P,0.8854,0.801
C_D_C1561534 ('Lipase  CTCAE'),M,0.9666,0.9296
C_D_C1561534 ('Lipase  CTCAE'),N,0.0006,0.0004
C_D_C1561534 ('Lipase  CTCAE'),P,0.0328,0.07
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),M,0.9061,0.9806
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),N,0.0006,0
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),P,0.0933,0.0194
C_D_C1623040 (Breastfeeding (mother)),M,0.9873,0.9983
C_D_C1623040 (Breastfeeding (mother)),N,0.0017,0.0001
C_D_C1623040 (Breastfeeding (mother)),P,0.0109,0.0016
C_D_C1623041 (Breastfeeding (infant)),M,0.9873,0.9983
C_D_C1623041 (Breastfeeding (infant)),N,0.0017,0.0001
C_D_C1623041 (Breastfeeding (infant)),P,0.0109,0.0016
C_D_C1642390 (Pupil equal round and reacting to light),M,0.8923,0.8575
C_D_C1642390 (Pupil equal round and reacting to light),N,0.0006,0.0001
C_D_C1642390 (Pupil equal round and reacting to light),P,0.1071,0.1424
C_D_C1659989 (Respiratory problem),M,0.9868,0.9977
C_D_C1659989 (Respiratory problem),N,0.0006,0.0003
C_D_C1659989 (Respiratory problem),P,0.0127,0.0021
C_D_C1704632 (Disease Response),M,0.6878,0.8764
C_D_C1704632 (Disease Response),N,0.0058,0.0023
C_D_C1704632 (Disease Response),P,0.3065,0.1213
C_D_C1706353 (Crack),M,0.9562,0.9105
C_D_C1706353 (Crack),N,0.0006,0.0004
C_D_C1706353 (Crack),P,0.0432,0.0891
C_D_C1709157 (Negative Surgical Margin),M,0.2558,0.1785
C_D_C1709157 (Negative Surgical Margin),N,0.0167,0.0178
C_D_C1709157 (Negative Surgical Margin),P,0.7275,0.8036
C_D_C1761613 (Conjunctival hyperemia),M,0.985,0.9609
C_D_C1761613 (Conjunctival hyperemia),N,0.0069,0.0311
C_D_C1761613 (Conjunctival hyperemia),P,0.0081,0.008
C_D_C1834704 (Intact sensation),M,0.9983,0.9873
C_D_C1834704 (Intact sensation),N,0.0006,0
C_D_C1834704 (Intact sensation),P,0.0012,0.0126
C_D_C1858724 (CARONTE),M,0.9931,0.9708
C_D_C1858724 (CARONTE),N,0.0006,0.002
C_D_C1858724 (CARONTE),P,0.0063,0.0272
C_D_C1866503 (ACUTE INSULIN RESPONSE),M,0.8139,0.7131
C_D_C1866503 (ACUTE INSULIN RESPONSE),N,0.0046,0.0045
C_D_C1866503 (ACUTE INSULIN RESPONSE),P,0.1815,0.2823
C_D_C1873497 (Normal assessment finding),M,0.0956,0.1585
C_D_C1873497 (Normal assessment finding),N,0.0138,0.0114
C_D_C1873497 (Normal assessment finding),P,0.8906,0.8302
C_D_C1880851 (Fracture of Medical Device Material),M,0.9891,0.8689
C_D_C1880851 (Fracture of Medical Device Material),N,0.0023,0.0361
C_D_C1880851 (Fracture of Medical Device Material),P,0.0086,0.095
C_D_C1881674 (Medical Device Emits Smoke),M,0.8059,0.6482
C_D_C1881674 (Medical Device Emits Smoke),N,0.0242,0.0373
C_D_C1881674 (Medical Device Emits Smoke),P,0.1699,0.3144
C_D_C1881706 (Medical Device Material Crack),M,0.9562,0.911
C_D_C1881706 (Medical Device Material Crack),N,0.0006,0.0004
C_D_C1881706 (Medical Device Material Crack),P,0.0432,0.0887
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),M,0.7523,0.4793
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),N,0.053,0.1051
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),P,0.1947,0.4156
C_D_C1961028 (Oriented to place),M,0.8013,0.6164
C_D_C1961028 (Oriented to place),N,0.0017,0.0008
C_D_C1961028 (Oriented to place),P,0.197,0.3828
C_D_C1961131 ('Cough  CTCAE'),M,0.3249,0.7439
C_D_C1961131 ('Cough  CTCAE'),N,0.0726,0.1351
C_D_C1961131 ('Cough  CTCAE'),P,0.6025,0.1211
C_D_C1962948 ('Atelectasis  CTCAE'),M,0.9666,0.9909
C_D_C1962948 ('Atelectasis  CTCAE'),N,0.0006,0.0001
C_D_C1962948 ('Atelectasis  CTCAE'),P,0.0328,0.009
C_D_C1962958 ('Hematoma  CTCAE'),M,0.9902,0.9671
C_D_C1962958 ('Hematoma  CTCAE'),N,0.0006,0.0038
C_D_C1962958 ('Hematoma  CTCAE'),P,0.0092,0.0291
C_D_C1963064 ('Anxiety  CTCAE 3.0'),M,0.9603,0.9135
C_D_C1963064 ('Anxiety  CTCAE 3.0'),N,0.0086,0.013
C_D_C1963064 ('Anxiety  CTCAE 3.0'),P,0.0311,0.0736
C_D_C1963065 ('Apnea  CTCAE'),M,0.966,0.9768
C_D_C1963065 ('Apnea  CTCAE'),N,0.0046,0.0026
C_D_C1963065 ('Apnea  CTCAE'),P,0.0294,0.0205
C_D_C1963071 ('Back Pain  CTCAE 3.0'),M,0.913,0.8172
C_D_C1963071 ('Back Pain  CTCAE 3.0'),N,0.0161,0.0382
C_D_C1963071 ('Back Pain  CTCAE 3.0'),P,0.0709,0.1447
C_D_C1963076 ('Platelets  CTCAE'),M,0.6918,0.7838
C_D_C1963076 ('Platelets  CTCAE'),N,0.0006,0.0001
C_D_C1963076 ('Platelets  CTCAE'),P,0.3076,0.2161
C_D_C1963090 ('Dehydration  CTCAE'),M,0.8174,0.9522
C_D_C1963090 ('Dehydration  CTCAE'),N,0.004,0.0013
C_D_C1963090 ('Dehydration  CTCAE'),P,0.1786,0.0466
C_D_C1963091 ('Diarrhea  CTCAE'),M,0.5835,0.7424
C_D_C1963091 ('Diarrhea  CTCAE'),N,0.1434,0.0999
C_D_C1963091 ('Diarrhea  CTCAE'),P,0.273,0.1576
C_D_C1963093 ('Dizziness  CTCAE 3.0'),M,0.9418,0.896
C_D_C1963093 ('Dizziness  CTCAE 3.0'),N,0.0046,0.015
C_D_C1963093 ('Dizziness  CTCAE 3.0'),P,0.0536,0.0891
C_D_C1963113 ('Fracture  CTCAE'),M,0.9891,0.8689
C_D_C1963113 ('Fracture  CTCAE'),N,0.0023,0.0361
C_D_C1963113 ('Fracture  CTCAE'),P,0.0086,0.095
C_D_C1963138 ('Hypertension  CTCAE'),M,0.8468,0.8057
C_D_C1963138 ('Hypertension  CTCAE'),N,0.0098,0.0015
C_D_C1963138 ('Hypertension  CTCAE'),P,0.1434,0.1928
C_D_C1963140 ('Hypoxia  CTCAE'),M,0.9332,0.9872
C_D_C1963140 ('Hypoxia  CTCAE'),N,0.0063,0.0033
C_D_C1963140 ('Hypoxia  CTCAE'),P,0.0605,0.0095
C_D_C1963177 ('Muscle Pain  CTCAE 3'),M,0.9568,0.9517
C_D_C1963177 ('Muscle Pain  CTCAE 3'),N,0.0156,0.0302
C_D_C1963177 ('Muscle Pain  CTCAE 3'),P,0.0276,0.0182
C_D_C1963179 ('Nausea  CTCAE 3.0'),M,0.7437,0.6492
C_D_C1963179 ('Nausea  CTCAE 3.0'),N,0.0927,0.1426
C_D_C1963179 ('Nausea  CTCAE 3.0'),P,0.1636,0.2082
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),M,0.9891,0.9681
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),N,0.0006,0.002
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),P,0.0104,0.0299
C_D_C1963215 ('Pneumothorax  CTCAE'),M,0.9101,0.9566
C_D_C1963215 ('Pneumothorax  CTCAE'),N,0.0161,0.0102
C_D_C1963215 ('Pneumothorax  CTCAE'),P,0.0737,0.0332
C_D_C1963221 ('Aspiration  CTCAE'),M,0.9729,0.9909
C_D_C1963221 ('Aspiration  CTCAE'),N,0.0023,0.0005
C_D_C1963221 ('Aspiration  CTCAE'),P,0.0248,0.0086
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),M,0.9412,0.9791
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),N,0.0006,0.0001
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),P,0.0582,0.0208
C_D_C1963281 ('Vomiting  CTCAE'),M,0.5962,0.7187
C_D_C1963281 ('Vomiting  CTCAE'),N,0.2224,0.1675
C_D_C1963281 ('Vomiting  CTCAE'),P,0.1815,0.1138
C_D_C1998827 (Respiratory Status),M,0.966,0.9974
C_D_C1998827 (Respiratory Status),N,0.0017,0
C_D_C1998827 (Respiratory Status),P,0.0323,0.0026
C_D_C1999266 ('Depression  CTCAE'),M,0.9672,0.9205
C_D_C1999266 ('Depression  CTCAE'),N,0.0058,0.0131
C_D_C1999266 ('Depression  CTCAE'),P,0.0271,0.0664
C_D_C2004062 (History of previous events),M,0.3474,0.6074
C_D_C2004062 (History of previous events),N,0.0334,0.0316
C_D_C2004062 (History of previous events),P,0.6192,0.361
C_D_C2010848 (jaundice),M,0.9061,0.9612
C_D_C2010848 (jaundice),N,0.0847,0.0348
C_D_C2010848 (jaundice),P,0.0092,0.004
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),M,0.9412,0.9791
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),N,0.0006,0.0001
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),P,0.0582,0.0208
C_D_C2242996 (Has tingling sensation),M,0.9752,0.9379
C_D_C2242996 (Has tingling sensation),N,0.0219,0.0492
C_D_C2242996 (Has tingling sensation),P,0.0029,0.0129
C_D_C2364135 (Discomfort),M,0.9614,0.9127
C_D_C2364135 (Discomfort),N,0.004,0.0047
C_D_C2364135 (Discomfort),P,0.0346,0.0826
C_D_C2709070 (on room air),M,0.8808,0.9331
C_D_C2709070 (on room air),N,0.0017,0.0007
C_D_C2709070 (on room air),P,0.1175,0.0662
C_D_C2712334 (Actual Aspiration),M,0.9729,0.9909
C_D_C2712334 (Actual Aspiration),N,0.0023,0.0005
C_D_C2712334 (Actual Aspiration),P,0.0248,0.0086
C_D_C2826292 (Related to Cancer),M,0.837,0.8913
C_D_C2826292 (Related to Cancer),N,0.0012,0.0032
C_D_C2826292 (Related to Cancer),P,0.1619,0.1054
C_D_C2826600 (Tissue Congestion),M,0.7863,0.9595
C_D_C2826600 (Tissue Congestion),N,0.0081,0.0021
C_D_C2826600 (Tissue Congestion),P,0.2056,0.0384
C_D_C2827071 (Unintentional Material Aspiration),M,0.9729,0.9909
C_D_C2827071 (Unintentional Material Aspiration),N,0.0023,0.0005
C_D_C2827071 (Unintentional Material Aspiration),P,0.0248,0.0086
C_D_C2926602 ('Discharge  body substance'),M,0.4315,0.376
C_D_C2926602 ('Discharge  body substance'),N,0.2437,0.1185
C_D_C2926602 ('Discharge  body substance'),P,0.3249,0.5055
C_D_C2957312 (Head bobbing),M,0.9868,0.9998
C_D_C2957312 (Head bobbing),N,0.0035,0.0001
C_D_C2957312 (Head bobbing),P,0.0098,0.0001
C_D_C3160712 ('Palpitations  CTCAE'),M,0.9505,0.895
C_D_C3160712 ('Palpitations  CTCAE'),N,0.0236,0.0523
C_D_C3160712 ('Palpitations  CTCAE'),P,0.0259,0.0527
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),M,0.9833,0.9969
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),N,0.0046,0.0002
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),P,0.0121,0.0029
C_D_C3472705 (Mild dehydration),M,0.9775,0.9946
C_D_C3472705 (Mild dehydration),N,0.0006,0
C_D_C3472705 (Mild dehydration),P,0.0219,0.0053
C_D_C3532617 (History of bronchiolitis),M,0.9931,0.9997
C_D_C3532617 (History of bronchiolitis),N,0.0006,0
C_D_C3532617 (History of bronchiolitis),P,0.0063,0.0002
C_D_C3539909 (Allergic disposition),M,0.8681,0.9354
C_D_C3539909 (Allergic disposition),N,0.0012,0.0032
C_D_C3539909 (Allergic disposition),P,0.1308,0.0614
C_D_C3641827 (Agree),M,0.8819,0.8275
C_D_C3641827 (Agree),N,0.0023,0.005
C_D_C3641827 (Agree),P,0.1158,0.1676
C_D_C3714552 (Weakness),M,0.8157,0.7422
C_D_C3714552 (Weakness),N,0.0265,0.0847
C_D_C3714552 (Weakness),P,0.1578,0.1731
C_D_C3714772 (Recurrent fevers),M,0.9914,0.9898
C_D_C3714772 (Recurrent fevers),N,0.0012,0.0087
C_D_C3714772 (Recurrent fevers),P,0.0075,0.0015
C_D_C3810851 (Center of town),M,0.9914,0.9706
C_D_C3810851 (Center of town),N,0.0006,0.0002
C_D_C3810851 (Center of town),P,0.0081,0.0292
C_D_C3812660 (Skin Bruise),M,0.9896,0.9583
C_D_C3812660 (Skin Bruise),N,0.004,0.0087
C_D_C3812660 (Skin Bruise),P,0.0063,0.033
C_D_C3814420 (Full Term Birth),M,0.9009,0.981
C_D_C3814420 (Full Term Birth),N,0.0006,0
C_D_C3814420 (Full Term Birth),P,0.0985,0.0189
C_D_C3827868 (Tachycardia by ECG Finding),M,0.8341,0.9416
C_D_C3827868 (Tachycardia by ECG Finding),N,0.0144,0.0163
C_D_C3827868 (Tachycardia by ECG Finding),P,0.1515,0.0421
C_D_C3829423 (Karnofsky Performance Status 80),M,0.9908,0.9994
C_D_C3829423 (Karnofsky Performance Status 80),N,0.0006,0
C_D_C3829423 (Karnofsky Performance Status 80),P,0.0086,0.0006
C_D_C3835651 (Resident - answer to question),M,0.4453,0.5623
C_D_C3835651 (Resident - answer to question),N,0.0012,0.0017
C_D_C3835651 (Resident - answer to question),P,0.5536,0.436
C_D_C3841811 (Transplant),M,0.9816,0.9956
C_D_C3841811 (Transplant),N,0.0017,0.0003
C_D_C3841811 (Transplant),P,0.0167,0.0041
C_D_C3842633 (At work),M,0.9948,0.9777
C_D_C3842633 (At work),N,0.0006,0.0004
C_D_C3842633 (At work),P,0.0046,0.022
C_D_C3842982 (Numbness or tingling),M,0.9891,0.9692
C_D_C3842982 (Numbness or tingling),N,0.0035,0.0151
C_D_C3842982 (Numbness or tingling),P,0.0075,0.0157
C_D_C3843946 (Nausea or vomiting),M,0.9551,0.9218
C_D_C3843946 (Nausea or vomiting),N,0.03,0.0419
C_D_C3843946 (Nausea or vomiting),P,0.015,0.0363
C_D_C3845665 (UTD),M,0.9787,0.9936
C_D_C3845665 (UTD),N,0.0006,0.0004
C_D_C3845665 (UTD),P,0.0207,0.006
C_D_C4018905 (Too early),M,0.9718,0.9929
C_D_C4018905 (Too early),N,0.0006,0
C_D_C4018905 (Too early),P,0.0276,0.0071
C_D_C4018909 (Overdose),M,0.9983,0.9871
C_D_C4018909 (Overdose),N,0.0006,0.0009
C_D_C4018909 (Overdose),P,0.0012,0.012
C_D_C4035626 (3 times),M,0.9205,0.8699
C_D_C4035626 (3 times),N,0.0006,0.0001
C_D_C4035626 (3 times),P,0.0789,0.13
C_D_C4035627 (2 times),M,0.8831,0.8151
C_D_C4035627 (2 times),N,0.0006,0.0001
C_D_C4035627 (2 times),P,0.1164,0.1849
C_D_C4049863 (Radiologic Impression),M,0.0824,0.1401
C_D_C4049863 (Radiologic Impression),N,0.004,0.0024
C_D_C4049863 (Radiologic Impression),P,0.9136,0.8575
C_D_C4050242 (Pathologic Complete Response),M,0.9856,0.9978
C_D_C4050242 (Pathologic Complete Response),N,0.0006,0
C_D_C4050242 (Pathologic Complete Response),P,0.0138,0.0022
C_D_C4050568 (High Risk Acute Leukemia),M,0.9833,0.9969
C_D_C4050568 (High Risk Acute Leukemia),N,0.0046,0.0002
C_D_C4050568 (High Risk Acute Leukemia),P,0.0121,0.0029
C_D_C4054315 (Organomegaly),M,0.6636,0.7843
C_D_C4054315 (Organomegaly),N,0.3358,0.2116
C_D_C4054315 (Organomegaly),P,0.0006,0.0041
C_D_C4068735 (Rambling),M,0.9988,0.9886
C_D_C4068735 (Rambling),N,0.0006,0
C_D_C4068735 (Rambling),P,0.0006,0.0114
C_D_C4068744 (Reactive to light),M,0.8767,0.7861
C_D_C4068744 (Reactive to light),N,0.0006,0
C_D_C4068744 (Reactive to light),P,0.1227,0.2138
C_D_C4084859 (Peribronchial Cuffing),M,0.9729,0.9989
C_D_C4084859 (Peribronchial Cuffing),N,0.0006,0
C_D_C4084859 (Peribronchial Cuffing),P,0.0265,0.001
C_D_C4281574 (Much),M,0.8756,0.8397
C_D_C4281574 (Much),N,0.0179,0.0079
C_D_C4281574 (Much),P,0.1066,0.1524
C_D_C4282165 (Swollen Lymph Node),M,0.5426,0.6491
C_D_C4282165 (Swollen Lymph Node),N,0.4297,0.3253
C_D_C4282165 (Swollen Lymph Node),P,0.0276,0.0256
C_D_C4283785 (Complete Pharyngeal Contraction),M,0.8358,0.9176
C_D_C4283785 (Complete Pharyngeal Contraction),N,0.004,0.0023
C_D_C4283785 (Complete Pharyngeal Contraction),P,0.1601,0.0801
C_D_C4283904 (Laboratory observation),M,0.7696,0.8978
C_D_C4283904 (Laboratory observation),N,0.0012,0.0014
C_D_C4283904 (Laboratory observation),P,0.2293,0.1008
C_D_C4318482 (Crutches Usually Used),M,0.9988,0.9819
C_D_C4318482 (Crutches Usually Used),N,0.0006,0.0005
C_D_C4318482 (Crutches Usually Used),P,0.0006,0.0176
C_D_C4319571 (High risk),M,0.9833,0.9969
C_D_C4319571 (High risk),N,0.0046,0.0002
C_D_C4319571 (High risk),P,0.0121,0.0029
C_D_C4321237 (High Level),M,0.8145,0.934
C_D_C4321237 (High Level),N,0.0029,0.0019
C_D_C4321237 (High Level),P,0.1826,0.0642
C_D_C4321351 (Low Level),M,0.8076,0.8755
C_D_C4321351 (Low Level),N,0.0086,0.0059
C_D_C4321351 (Low Level),P,0.1838,0.1187
C_D_C4520890 (Nasal (intended site)),M,0.9401,0.9681
C_D_C4520890 (Nasal (intended site)),N,0.0058,0.0059
C_D_C4520890 (Nasal (intended site)),P,0.0541,0.026
C_D_C4521903 (Rectal (intended site)),M,0.7725,0.9359
C_D_C4521903 (Rectal (intended site)),N,0.0012,0.0012
C_D_C4521903 (Rectal (intended site)),P,0.2264,0.0629
C_D_C4521986 (Oral (intended site)),M,0.7552,0.8162
C_D_C4521986 (Oral (intended site)),N,0.0081,0.0048
C_D_C4521986 (Oral (intended site)),P,0.2368,0.179
C_D_C4522216 (Influenza B (result)),M,0.9338,0.9999
C_D_C4522216 (Influenza B (result)),N,0.0092,0
C_D_C4522216 (Influenza B (result)),P,0.057,0
C_D_C4534306 (Supplemental oxygen),M,0.9752,0.9967
C_D_C4534306 (Supplemental oxygen),N,0.0017,0.0001
C_D_C4534306 (Supplemental oxygen),P,0.023,0.0032
C_D_C4534363 (At home),M,0.6112,0.7625
C_D_C4534363 (At home),N,0.0063,0.0042
C_D_C4534363 (At home),P,0.3825,0.2333
C_D_C4552646 ('Myalgia  CTCAE 5'),M,0.985,0.9975
C_D_C4552646 ('Myalgia  CTCAE 5'),N,0.0012,0.0002
C_D_C4552646 ('Myalgia  CTCAE 5'),P,0.0138,0.0023
C_D_C4552651 ('Respiratory Failure  CTCAE'),M,0.9735,0.9966
C_D_C4552651 ('Respiratory Failure  CTCAE'),N,0.0017,0.0001
C_D_C4552651 ('Respiratory Failure  CTCAE'),P,0.0248,0.0033
C_D_C4552662 ('Rhinorrhea  CTCAE'),M,0.8329,0.9369
C_D_C4552662 ('Rhinorrhea  CTCAE'),N,0.0109,0.0132
C_D_C4552662 ('Rhinorrhea  CTCAE'),P,0.1561,0.0499
C_D_C4552735 ('Anxiety  CTCAE 5.0'),M,0.9603,0.9135
C_D_C4552735 ('Anxiety  CTCAE 5.0'),N,0.0086,0.013
C_D_C4552735 ('Anxiety  CTCAE 5.0'),P,0.0311,0.0736
C_D_C4552740 ('Fever  CTCAE'),M,0.2535,0.6012
C_D_C4552740 ('Fever  CTCAE'),N,0.1457,0.2666
C_D_C4552740 ('Fever  CTCAE'),P,0.6008,0.1322
C_D_C4552746 ('Sore Throat  CTCAE'),M,0.75,0.8761
C_D_C4552746 ('Sore Throat  CTCAE'),N,0.0755,0.064
C_D_C4552746 ('Sore Throat  CTCAE'),P,0.1745,0.06
C_D_C4552777 ('Pleural Effusion  CTCAE'),M,0.9384,0.9891
C_D_C4552777 ('Pleural Effusion  CTCAE'),N,0.0173,0.0017
C_D_C4552777 ('Pleural Effusion  CTCAE'),P,0.0444,0.0092
C_D_C4552837 ('Sepsis  CTCAE'),M,0.9194,0.984
C_D_C4552837 ('Sepsis  CTCAE'),N,0.004,0.0008
C_D_C4552837 ('Sepsis  CTCAE'),P,0.0766,0.0152
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),M,0.9764,0.9939
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),N,0.0006,0
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),P,0.023,0.0061
C_D_C4552844 ('Meningitis  CTCAE'),M,0.9165,0.9741
C_D_C4552844 ('Meningitis  CTCAE'),N,0.004,0.0019
C_D_C4552844 ('Meningitis  CTCAE'),P,0.0795,0.024
C_D_C4552845 ('Arthritis  CTCAE'),M,0.9487,0.9053
C_D_C4552845 ('Arthritis  CTCAE'),N,0.0012,0.0005
C_D_C4552845 ('Arthritis  CTCAE'),P,0.0501,0.0942
C_D_C4552901 ('Bronchospasm  CTCAE'),M,0.9775,0.9969
C_D_C4552901 ('Bronchospasm  CTCAE'),N,0.0023,0.0001
C_D_C4552901 ('Bronchospasm  CTCAE'),P,0.0202,0.003
C_D_C4552903 ('Lethargy  CTCAE'),M,0.9677,0.9895
C_D_C4552903 ('Lethargy  CTCAE'),N,0.0121,0.0037
C_D_C4552903 ('Lethargy  CTCAE'),P,0.0202,0.0068
C_D_C4552938 ('Productive Cough  CTCAE'),M,0.9464,0.9883
C_D_C4552938 ('Productive Cough  CTCAE'),N,0.0035,0.0014
C_D_C4552938 ('Productive Cough  CTCAE'),P,0.0501,0.0103
C_D_C4552989 ('Malaise  CTCAE'),M,0.9395,0.968
C_D_C4552989 ('Malaise  CTCAE'),N,0.0046,0.0069
C_D_C4552989 ('Malaise  CTCAE'),P,0.0559,0.0251
C_D_C4553004 ('Pain  CTCAE'),M,0.7523,0.4793
C_D_C4553004 ('Pain  CTCAE'),N,0.053,0.1051
C_D_C4553004 ('Pain  CTCAE'),P,0.1947,0.4156
