Feature (description),Attribute,F,T
C_D_C0424755 (Fever symptoms (finding)),P,0.6414,0.1202
C_D_C0424768 (Prolonged fever),M,0.9922,0.9994
C_D_C0424768 (Prolonged fever),N,0.0004,0
C_D_C0424768 (Prolonged fever),P,0.0074,0.0006
C_D_C0424945 (Social and personal history),M,0.0459,0.0953
C_D_C0424945 (Social and personal history),N,0.0109,0.0249
C_D_C0424945 (Social and personal history),P,0.9432,0.8798
C_D_C0425293 (Never smoked tobacco),M,0.9312,0.8802
C_D_C0425293 (Never smoked tobacco),N,0.0035,0.0054
C_D_C0425293 (Never smoked tobacco),P,0.0653,0.1144
C_D_C0425452 (No obstruction of airway),M,0.886,0.7231
C_D_C0425452 (No obstruction of airway),N,0.0004,0.0002
C_D_C0425452 (No obstruction of airway),P,0.1136,0.2767
C_D_C0425470 (Intercostal Retractions),M,0.7966,0.8799
C_D_C0425470 (Intercostal Retractions),N,0.0564,0.1021
C_D_C0425470 (Intercostal Retractions),P,0.147,0.0181
C_D_C0425542 (Added respiratory sounds),M,0.9887,0.995
C_D_C0425542 (Added respiratory sounds),N,0.007,0.0041
C_D_C0425542 (Added respiratory sounds),P,0.0043,0.0009
C_D_C0425710 (Peripheral perfusion),M,0.4757,0.6765
C_D_C0425710 (Peripheral perfusion),N,0.0004,0.0001
C_D_C0425710 (Peripheral perfusion),P,0.5239,0.3234
C_D_C0425932 (Date of last menstrual period),M,0.9957,0.9827
C_D_C0425932 (Date of last menstrual period),N,0.0004,0.0001
C_D_C0425932 (Date of last menstrual period),P,0.0039,0.0171
C_D_C0426317 (Genitourinary symptoms),M,0.741,0.8936
C_D_C0426317 (Genitourinary symptoms),N,0.0004,0.0003
C_D_C0426317 (Genitourinary symptoms),P,0.2587,0.1061
C_D_C0426576 (Gastrointestinal symptom),M,0.5702,0.8361
C_D_C0426576 (Gastrointestinal symptom),N,0.0004,0.0004
C_D_C0426576 (Gastrointestinal symptom),P,0.4294,0.1635
C_D_C0428167 (Inspired fraction of oxygen),M,0.7343,0.4792
C_D_C0428167 (Inspired fraction of oxygen),N,0.0012,0.0005
C_D_C0428167 (Inspired fraction of oxygen),P,0.2645,0.5203
C_D_C0438105 (Examination finding),M,0.986,0.9637
C_D_C0438105 (Examination finding),N,0.0004,0.0001
C_D_C0438105 (Examination finding),P,0.0136,0.0362
C_D_C0438141 (Urine screening normal),M,0.9767,0.9962
C_D_C0438141 (Urine screening normal),N,0.0004,0
C_D_C0438141 (Urine screening normal),P,0.0229,0.0038
C_D_C0442757 (3/4),M,0.9798,0.9951
C_D_C0442757 (3/4),N,0.0004,0
C_D_C0442757 (3/4),P,0.0198,0.0049
C_D_C0442797 (Decreasing),M,0.9767,0.9918
C_D_C0442797 (Decreasing),N,0.0004,0.0003
C_D_C0442797 (Decreasing),P,0.0229,0.0078
C_D_C0455204 (Homicidal thoughts),M,0.9969,0.9749
C_D_C0455204 (Homicidal thoughts),N,0.0008,0.0066
C_D_C0455204 (Homicidal thoughts),P,0.0023,0.0185
C_D_C0455458 (PMH - past medical history),M,0.7067,0.4756
C_D_C0455458 (PMH - past medical history),N,0.0303,0.0412
C_D_C0455458 (PMH - past medical history),P,0.2629,0.4832
C_D_C0455542 (H/O: pneumonia),M,0.9922,0.9989
C_D_C0455542 (H/O: pneumonia),N,0.0016,0.0001
C_D_C0455542 (H/O: pneumonia),P,0.0062,0.001
C_D_C0455544 (H/O: asthma),M,0.9354,0.9712
C_D_C0455544 (H/O: asthma),N,0.0047,0.0014
C_D_C0455544 (H/O: asthma),P,0.0599,0.0274
C_D_C0455899 (Red throat),M,0.6309,0.7911
C_D_C0455899 (Red throat),N,0.0793,0.0946
C_D_C0455899 (Red throat),P,0.2898,0.1142
C_D_C0455900 (Moist oral mucosa),M,0.9759,0.996
C_D_C0455900 (Moist oral mucosa),N,0.0004,0
C_D_C0455900 (Moist oral mucosa),P,0.0237,0.0039
C_D_C0456984 (Test Result),M,0.802,0.9654
C_D_C0456984 (Test Result),N,0.0058,0.0041
C_D_C0456984 (Test Result),P,0.1921,0.0305
C_D_C0457096 (Yellow sputum),M,0.9879,0.9958
C_D_C0457096 (Yellow sputum),N,0.0004,0.0001
C_D_C0457096 (Yellow sputum),P,0.0117,0.004
C_D_C0459424 (Abnormal result),M,0.9938,0.9996
C_D_C0459424 (Abnormal result),N,0.0004,0
C_D_C0459424 (Abnormal result),P,0.0058,0.0004
C_D_C0460139 (Pressure (finding)),M,0.9794,0.9535
C_D_C0460139 (Pressure (finding)),N,0.0004,0.0009
C_D_C0460139 (Pressure (finding)),P,0.0202,0.0456
C_D_C0475806 (1/3 meter (distance vision finding)),M,0.9918,0.9704
C_D_C0475806 (1/3 meter (distance vision finding)),N,0.0004,0.0005
C_D_C0475806 (1/3 meter (distance vision finding)),P,0.0078,0.0291
C_D_C0476270 (Cardiovascular symptoms),M,0.7464,0.8872
C_D_C0476270 (Cardiovascular symptoms),N,0.0004,0.0001
C_D_C0476270 (Cardiovascular symptoms),P,0.2532,0.1127
C_D_C0476273 (Respiratory distress),M,0.8102,0.9358
C_D_C0476273 (Respiratory distress),N,0.0424,0.0278
C_D_C0476273 (Respiratory distress),P,0.1474,0.0364
C_D_C0489543 (History source),M,0.4127,0.76
C_D_C0489543 (History source),N,0.0004,0
C_D_C0489543 (History source),P,0.5869,0.24
C_D_C0489547 (Hospital course),M,0.9199,0.8231
C_D_C0489547 (Hospital course),N,0.0004,0.0004
C_D_C0489547 (Hospital course),P,0.0797,0.1765
C_D_C0489749 (Rectal temperature),M,0.9887,0.9986
C_D_C0489749 (Rectal temperature),N,0.0004,0
C_D_C0489749 (Rectal temperature),P,0.0109,0.0014
C_D_C0516979 (energy level),M,0.9879,0.9989
C_D_C0516979 (energy level),N,0.0004,0
C_D_C0516979 (energy level),P,0.0117,0.0011
C_D_C0518610 (Social warmth),M,0.9899,0.9576
C_D_C0518610 (Social warmth),N,0.0012,0.0051
C_D_C0518610 (Social warmth),P,0.0089,0.0373
C_D_C0521654 (Neurologic Deficits),M,0.753,0.8468
C_D_C0521654 (Neurologic Deficits),N,0.0008,0.0072
C_D_C0521654 (Neurologic Deficits),P,0.2462,0.146
C_D_C0524587 (Mean Corpuscular Volume (result)),M,0.7013,0.752
C_D_C0524587 (Mean Corpuscular Volume (result)),N,0.0004,0
C_D_C0524587 (Mean Corpuscular Volume (result)),P,0.2983,0.248
C_D_C0542538 (Observation of Sensation),M,0.949,0.8054
C_D_C0542538 (Observation of Sensation),N,0.0008,0.0024
C_D_C0542538 (Observation of Sensation),P,0.0502,0.1922
C_D_C0547030 (Visual disturbance),M,0.9926,0.9664
C_D_C0547030 (Visual disturbance),N,0.0066,0.0277
C_D_C0547030 (Visual disturbance),P,0.0008,0.0059
C_D_C0549206 (Patient currently pregnant),M,0.9763,0.9863
C_D_C0549206 (Patient currently pregnant),N,0.0066,0.001
C_D_C0549206 (Patient currently pregnant),P,0.0171,0.0127
C_D_C0558145 (Skin appearance normal (finding)),M,0.0747,0.1449
C_D_C0558145 (Skin appearance normal (finding)),N,0.0093,0.0133
C_D_C0558145 (Skin appearance normal (finding)),P,0.916,0.8418
C_D_C0559474 (Family social history),M,0.9868,0.9971
C_D_C0559474 (Family social history),N,0.0004,0
C_D_C0559474 (Family social history),P,0.0128,0.0029
C_D_C0562381 (Victim of abuse finding),M,0.9953,0.9802
C_D_C0562381 (Victim of abuse finding),N,0.0004,0.0014
C_D_C0562381 (Victim of abuse finding),P,0.0043,0.0184
C_D_C0562483 (Persistent cough),M,0.9891,0.9978
C_D_C0562483 (Persistent cough),N,0.0008,0
C_D_C0562483 (Persistent cough),P,0.0101,0.0021
C_D_C0566275 (Able to drink),M,0.9841,0.9954
C_D_C0566275 (Able to drink),N,0.0004,0.0001
C_D_C0566275 (Able to drink),P,0.0156,0.0044
C_D_C0576709 (Normal sensation),M,0.9973,0.9865
C_D_C0576709 (Normal sensation),N,0.0004,0
C_D_C0576709 (Normal sensation),P,0.0023,0.0134
C_D_C0577559 (Mass of body structure),M,0.9463,0.8651
C_D_C0577559 (Mass of body structure),N,0.0035,0.0073
C_D_C0577559 (Mass of body structure),P,0.0502,0.1276
C_D_C0577573 (Mass of body region),M,0.9475,0.8708
C_D_C0577573 (Mass of body region),N,0.0035,0.0074
C_D_C0577573 (Mass of body region),P,0.049,0.1218
C_D_C0577962 (Expiratory crackles),M,0.9953,0.9999
C_D_C0577962 (Expiratory crackles),N,0.0004,0
C_D_C0577962 (Expiratory crackles),P,0.0043,0.0001
C_D_C0578022 (Finding of body mass index),M,0.9588,0.9164
C_D_C0578022 (Finding of body mass index),N,0.0004,0.0001
C_D_C0578022 (Finding of body mass index),P,0.0408,0.0835
C_D_C0578617 (Pupils equal),M,0.9452,0.8973
C_D_C0578617 (Pupils equal),N,0.0004,0
C_D_C0578617 (Pupils equal),P,0.0545,0.1026
C_D_C0578671 (Does move),M,0.5741,0.7967
C_D_C0578671 (Does move),N,0.0004,0.0002
C_D_C0578671 (Does move),P,0.4255,0.2031
C_D_C0582051 (Feels warm),M,0.1556,0.22
C_D_C0582051 (Feels warm),N,0.0027,0.0052
C_D_C0582051 (Feels warm),P,0.8417,0.7748
C_D_C0586406 (Eye symptom),M,0.6632,0.8761
C_D_C0586406 (Eye symptom),N,0.0004,0.0002
C_D_C0586406 (Eye symptom),P,0.3364,0.1237
C_D_C0586407 (Skin symptom),M,0.5904,0.8373
C_D_C0586407 (Skin symptom),N,0.0008,0.0007
C_D_C0586407 (Skin symptom),P,0.4088,0.162
C_D_C0586514 (Discharge status),M,0.9296,0.7874
C_D_C0586514 (Discharge status),N,0.0004,0
C_D_C0586514 (Discharge status),P,0.07,0.2126
C_D_C0587366 (Urine cocaine level result),M,0.9934,0.9771
C_D_C0587366 (Urine cocaine level result),N,0.0004,0
C_D_C0587366 (Urine cocaine level result),P,0.0062,0.0228
C_D_C0595998 (Household composition),M,0.8573,0.9009
C_D_C0595998 (Household composition),N,0.0004,0.0015
C_D_C0595998 (Household composition),P,0.1424,0.0976
C_D_C0600116 (Does speak),M,0.9844,0.9648
C_D_C0600116 (Does speak),N,0.0004,0.0007
C_D_C0600116 (Does speak),P,0.0152,0.0346
C_D_C0683369 (Clouded consciousness),M,0.9658,0.9152
C_D_C0683369 (Clouded consciousness),N,0.021,0.068
C_D_C0683369 (Clouded consciousness),P,0.0132,0.0167
C_D_C0694551 (Right lower quadrant pain),M,0.9992,0.9912
C_D_C0694551 (Right lower quadrant pain),N,0.0004,0.0008
C_D_C0694551 (Right lower quadrant pain),P,0.0004,0.008
C_D_C0700153 (Myotonus (finding)),M,0.9988,0.9914
C_D_C0700153 (Myotonus (finding)),N,0.0004,0
C_D_C0700153 (Myotonus (finding)),P,0.0008,0.0086
C_D_C0700292 (Hypoxemia),M,0.9809,0.9971
C_D_C0700292 (Hypoxemia),N,0.0004,0.0005
C_D_C0700292 (Hypoxemia),P,0.0187,0.0023
C_D_C0700590 (Increased sweating),M,0.986,0.9625
C_D_C0700590 (Increased sweating),N,0.0027,0.0056
C_D_C0700590 (Increased sweating),P,0.0113,0.0319
C_D_C0728731 (Prematurity of fetus),M,0.9837,0.9981
C_D_C0728731 (Prematurity of fetus),N,0.0004,0
C_D_C0728731 (Prematurity of fetus),P,0.0159,0.0018
C_D_C0728899 (Intoxication),M,0.9984,0.9842
C_D_C0728899 (Intoxication),N,0.0004,0.001
C_D_C0728899 (Intoxication),P,0.0012,0.0148
C_D_C0741302 (atypia morphology),M,0.9514,0.9839
C_D_C0741302 (atypia morphology),N,0.0016,0.0006
C_D_C0741302 (atypia morphology),P,0.0471,0.0156
C_D_C0743973 (FEVER HIGH (finding)),M,0.9736,0.9981
C_D_C0743973 (FEVER HIGH (finding)),N,0.0016,0
C_D_C0743973 (FEVER HIGH (finding)),P,0.0249,0.0019
C_D_C0744689 (heart size),M,0.9782,0.9932
C_D_C0744689 (heart size),N,0.0004,0.0001
C_D_C0744689 (heart size),P,0.0214,0.0067
C_D_C0744961 (surgical history),M,0.564,0.7467
C_D_C0744961 (surgical history),N,0.0016,0.0014
C_D_C0744961 (surgical history),P,0.4345,0.2519
C_D_C0746674 (Generalized muscle weakness),M,0.9701,0.9851
C_D_C0746674 (Generalized muscle weakness),N,0.0012,0.0004
C_D_C0746674 (Generalized muscle weakness),P,0.0288,0.0145
C_D_C0746857 (Focal Neurologic Deficits),M,0.9113,0.9543
C_D_C0746857 (Focal Neurologic Deficits),N,0.0875,0.043
C_D_C0746857 (Focal Neurologic Deficits),P,0.0012,0.0027
C_D_C0746961 (Oxygen saturation below reference range),M,0.986,0.9981
C_D_C0746961 (Oxygen saturation below reference range),N,0.0019,0
C_D_C0746961 (Oxygen saturation below reference range),P,0.0121,0.0018
C_D_C0750280 (Visual changes),M,0.9907,0.9687
C_D_C0750280 (Visual changes),N,0.0023,0.0071
C_D_C0750280 (Visual changes),P,0.007,0.0242
C_D_C0751054 ('Consciousness  Level Altered'),M,0.9689,0.9906
C_D_C0751054 ('Consciousness  Level Altered'),N,0.028,0.0072
C_D_C0751054 ('Consciousness  Level Altered'),P,0.0031,0.0023
C_D_C0805732 (Completion Status),M,0.9304,0.9794
C_D_C0805732 (Completion Status),N,0.0004,0.0002
C_D_C0805732 (Completion Status),P,0.0692,0.0203
C_D_C0808334 (Tube number),M,0.9907,0.9994
C_D_C0808334 (Tube number),N,0.0004,0
C_D_C0808334 (Tube number),P,0.0089,0.0005
C_D_C0849970 (Feeling tired),M,0.9522,0.9895
C_D_C0849970 (Feeling tired),N,0.0012,0.0001
C_D_C0849970 (Feeling tired),P,0.0467,0.0104
C_D_C0850149 (Dry cough),M,0.9335,0.9856
C_D_C0850149 (Dry cough),N,0.0004,0.0001
C_D_C0850149 (Dry cough),P,0.0661,0.0143
C_D_C0851511 (family issues),M,0.6756,0.878
C_D_C0851511 (family issues),N,0.324,0.1219
C_D_C0851511 (family issues),P,0.0004,0.0001
C_D_C0853697 (Neutrophil count decreased),M,0.9829,0.9974
C_D_C0853697 (Neutrophil count decreased),N,0.0019,0.0005
C_D_C0853697 (Neutrophil count decreased),P,0.0152,0.0021
C_D_C0859927 (Increased work of breathing),M,0.9242,0.9936
C_D_C0859927 (Increased work of breathing),N,0.0233,0.0028
C_D_C0859927 (Increased work of breathing),P,0.0525,0.0037
C_D_C0860864 (Decreased albumin),M,0.9914,0.9988
C_D_C0860864 (Decreased albumin),N,0.0004,0
C_D_C0860864 (Decreased albumin),P,0.0082,0.0012
C_D_C0860901 (Decreased total protein),M,0.9802,0.9972
C_D_C0860901 (Decreased total protein),N,0.0004,0
C_D_C0860901 (Decreased total protein),P,0.0194,0.0027
C_D_C0863146 (Yellow color on exam),M,0.9063,0.9771
C_D_C0863146 (Yellow color on exam),N,0.0004,0
C_D_C0863146 (Yellow color on exam),P,0.0933,0.0229
C_D_C0871269 (Rhythm),M,0.224,0.1763
C_D_C0871269 (Rhythm),N,0.0016,0.0016
C_D_C0871269 (Rhythm),P,0.7744,0.8221
C_D_C0948106 (Rupture of Membranes),M,0.6332,0.84
C_D_C0948106 (Rupture of Membranes),N,0.0047,0.0021
C_D_C0948106 (Rupture of Membranes),P,0.3621,0.1578
C_D_C1112320 (temperature intolerance),M,0.9946,0.9999
C_D_C1112320 (temperature intolerance),N,0.0004,0
C_D_C1112320 (temperature intolerance),P,0.0051,0
C_D_C1116171 (Vaccinated at),M,0.9852,0.9968
C_D_C1116171 (Vaccinated at),N,0.0004,0
C_D_C1116171 (Vaccinated at),P,0.0144,0.0032
C_D_C1260880 (Rhinorrhea),M,0.7865,0.8717
C_D_C1260880 (Rhinorrhea),N,0.0366,0.0721
C_D_C1260880 (Rhinorrhea),P,0.177,0.0562
C_D_C1261031 (Platelet morphology - result),M,0.963,0.9942
C_D_C1261031 (Platelet morphology - result),N,0.0004,0
C_D_C1261031 (Platelet morphology - result),P,0.0366,0.0057
C_D_C1261327 (Family history of asthma),M,0.9584,0.9925
C_D_C1261327 (Family history of asthma),N,0.0023,0.0007
C_D_C1261327 (Family history of asthma),P,0.0393,0.0069
C_D_C1273937 (Not significant),M,0.9743,0.9923
C_D_C1273937 (Not significant),N,0.0004,0.0001
C_D_C1273937 (Not significant),P,0.0253,0.0076
C_D_C1277295 (Cough with fever),M,0.9806,0.9985
C_D_C1277295 (Cough with fever),N,0.0012,0.0003
C_D_C1277295 (Cough with fever),P,0.0183,0.0012
C_D_C1279889 (Deterioration of status),M,0.9187,0.8749
C_D_C1279889 (Deterioration of status),N,0.0047,0.0073
C_D_C1279889 (Deterioration of status),P,0.0766,0.1178
C_D_C1299487 (Patient name),M,0.9848,0.956
C_D_C1299487 (Patient name),N,0.0004,0
C_D_C1299487 (Patient name),P,0.0148,0.0439
C_D_C1304698 (Liquid (finding)),M,0.9588,0.9837
C_D_C1304698 (Liquid (finding)),N,0.0008,0.0003
C_D_C1304698 (Liquid (finding)),P,0.0405,0.0159
C_D_C1314687 (Sexual intercourse - finding),M,0.0416,0.0812
C_D_C1314687 (Sexual intercourse - finding),N,0.0004,0.007
C_D_C1314687 (Sexual intercourse - finding),P,0.958,0.9118
C_D_C1320474 (Nuchal Rigidity),M,0.9751,0.9904
C_D_C1320474 (Nuchal Rigidity),N,0.0218,0.0082
C_D_C1320474 (Nuchal Rigidity),P,0.0031,0.0014
C_D_C1321013 (Hydration status),M,0.8818,0.9707
C_D_C1321013 (Hydration status),N,0.0012,0.0001
C_D_C1321013 (Hydration status),P,0.1171,0.0292
C_D_C1330956 (Base excess result),M,0.9623,0.9895
C_D_C1330956 (Base excess result),N,0.0004,0
C_D_C1330956 (Base excess result),P,0.0373,0.0105
C_D_C1363945 (Therapy Object (animal model)),M,0.6367,0.8602
C_D_C1363945 (Therapy Object (animal model)),N,0.0019,0.0006
C_D_C1363945 (Therapy Object (animal model)),P,0.3613,0.1392
C_D_C1444775 (Sharp sensation quality),M,0.9914,0.9537
C_D_C1444775 (Sharp sensation quality),N,0.0004,0.0011
C_D_C1444775 (Sharp sensation quality),P,0.0082,0.0452
C_D_C1446409 (Positive),M,0.6068,0.8154
C_D_C1446409 (Positive),N,0.0319,0.0785
C_D_C1446409 (Positive),P,0.3613,0.1061
C_D_C1446787 (Cramping sensation quality),M,0.9965,0.9814
C_D_C1446787 (Cramping sensation quality),N,0.0008,0.0004
C_D_C1446787 (Cramping sensation quality),P,0.0027,0.0182
C_D_C1455844 (Hearing examination finding),M,0.9837,0.9759
C_D_C1455844 (Hearing examination finding),N,0.0066,0.0008
C_D_C1455844 (Hearing examination finding),P,0.0097,0.0233
C_D_C1457868 (Worse),M,0.9082,0.8595
C_D_C1457868 (Worse),N,0.0047,0.0071
C_D_C1457868 (Worse),P,0.0871,0.1334
C_D_C1457887 (Symptoms),M,0.2544,0.4622
C_D_C1457887 (Symptoms),N,0.0381,0.0672
C_D_C1457887 (Symptoms),P,0.7075,0.4706
C_D_C1504561 (Hypophagia),M,0.9763,0.9973
C_D_C1504561 (Hypophagia),N,0.0008,0
C_D_C1504561 (Hypophagia),P,0.0229,0.0027
C_D_C1509143 (Physical assessment findings),M,0.6962,0.8516
C_D_C1509143 (Physical assessment findings),N,0.0078,0.0103
C_D_C1509143 (Physical assessment findings),P,0.296,0.1381
C_D_C1513302 (Mild Adverse Event),M,0.6262,0.6832
C_D_C1513302 (Mild Adverse Event),N,0.0023,0.0019
C_D_C1513302 (Mild Adverse Event),P,0.3715,0.315
C_D_C1513916 (Negative Finding),M,0.1,0.2033
C_D_C1513916 (Negative Finding),N,0.0066,0.0076
C_D_C1513916 (Negative Finding),P,0.8934,0.789
C_D_C1514241 (Positive Finding),M,0.7709,0.8404
C_D_C1514241 (Positive Finding),N,0.0342,0.0813
C_D_C1514241 (Positive Finding),P,0.1949,0.0783
C_D_C1519353 (Skin Papule),M,0.9914,0.9941
C_D_C1519353 (Skin Papule),N,0.0004,0
C_D_C1519353 (Skin Papule),P,0.0082,0.0058
C_D_C1519885 (Vaccinated (qualifier)),M,0.9852,0.9968
C_D_C1519885 (Vaccinated (qualifier)),N,0.0004,0
C_D_C1519885 (Vaccinated (qualifier)),P,0.0144,0.0032
C_D_C1546419 (Ambulatory Status - Oxygen therapy),M,0.5935,0.8903
C_D_C1546419 (Ambulatory Status - Oxygen therapy),N,0.0004,0
C_D_C1546419 (Ambulatory Status - Oxygen therapy),P,0.4061,0.1097
C_D_C1548428 (Referral type - Psychiatric),M,0.5741,0.4506
C_D_C1548428 (Referral type - Psychiatric),N,0.0004,0.0015
C_D_C1548428 (Referral type - Psychiatric),P,0.4255,0.5479
C_D_C1550457 (Normal Observation Interpretation),M,0.0747,0.147
C_D_C1550457 (Normal Observation Interpretation),N,0.0093,0.0133
C_D_C1550457 (Normal Observation Interpretation),P,0.916,0.8397
C_D_C1551394 (normal Device Alert Level),M,0.0747,0.147
C_D_C1551394 (normal Device Alert Level),N,0.0093,0.0133
C_D_C1551394 (normal Device Alert Level),P,0.916,0.8397
C_D_C1551395 (Device Alert Level - Serious),M,0.965,0.9855
C_D_C1551395 (Device Alert Level - Serious),N,0.0023,0.0022
C_D_C1551395 (Device Alert Level - Serious),P,0.0327,0.0123
C_D_C1551396 (DeviceAlertLevel - Critical),M,0.9086,0.9914
C_D_C1551396 (DeviceAlertLevel - Critical),N,0.0008,0.0002
C_D_C1551396 (DeviceAlertLevel - Critical),P,0.0906,0.0084
C_D_C1552745 (Equipment Alert Level - Serious),M,0.965,0.9855
C_D_C1552745 (Equipment Alert Level - Serious),N,0.0023,0.0022
C_D_C1552745 (Equipment Alert Level - Serious),P,0.0327,0.0123
C_D_C1555319 (discharge diagnosis),M,0.9942,0.9753
C_D_C1555319 (discharge diagnosis),N,0.0004,0.0002
C_D_C1555319 (discharge diagnosis),P,0.0054,0.0245
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),M,0.515,0.8085
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),N,0.0066,0.0122
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),P,0.4784,0.1792
C_D_C1557397 (Adverse Event Associated with Pain),M,0.7783,0.4656
C_D_C1557397 (Adverse Event Associated with Pain),N,0.0747,0.1356
C_D_C1557397 (Adverse Event Associated with Pain),P,0.147,0.3988
C_D_C1559138 ('Pruritus  CTCAE'),M,0.9914,0.9646
C_D_C1559138 ('Pruritus  CTCAE'),N,0.0047,0.0225
C_D_C1559138 ('Pruritus  CTCAE'),P,0.0039,0.013
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),M,0.1035,0.2136
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),N,0.0004,0.0013
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),P,0.8961,0.7851
C_D_C1560435 ('Gastritis  CTCAE'),M,0.9946,0.9738
C_D_C1560435 ('Gastritis  CTCAE'),N,0.0004,0.0003
C_D_C1560435 ('Gastritis  CTCAE'),P,0.0051,0.0259
C_D_C1561534 ('Lipase  CTCAE'),M,0.9638,0.9263
C_D_C1561534 ('Lipase  CTCAE'),N,0.0004,0.0004
C_D_C1561534 ('Lipase  CTCAE'),P,0.0358,0.0732
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),M,0.9992,0.9999
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),N,0.0004,0
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),P,0.0004,0
C_D_C1578513 (Query Status Code - new),M,0.8316,0.7448
C_D_C1578513 (Query Status Code - new),N,0.0685,0.114
C_D_C1578513 (Query Status Code - new),P,0.1,0.1412
C_D_C1642390 (Pupil equal round and reacting to light),M,0.9362,0.8885
C_D_C1642390 (Pupil equal round and reacting to light),N,0.0004,0
C_D_C1642390 (Pupil equal round and reacting to light),P,0.0634,0.1114
C_D_C1659989 (Respiratory problem),M,0.9615,0.9959
C_D_C1659989 (Respiratory problem),N,0.0004,0.0001
C_D_C1659989 (Respiratory problem),P,0.0381,0.004
C_D_C1704258 (Abnormality),M,0.9619,0.9279
C_D_C1704258 (Abnormality),N,0.0016,0.0032
C_D_C1704258 (Abnormality),P,0.0366,0.0688
C_D_C1704632 (Disease Response),M,0.6733,0.8721
C_D_C1704632 (Disease Response),N,0.0023,0.0029
C_D_C1704632 (Disease Response),P,0.3244,0.1251
C_D_C1706353 (Crack),M,0.9424,0.8896
C_D_C1706353 (Crack),N,0.0016,0.0006
C_D_C1706353 (Crack),P,0.056,0.1098
C_D_C1709157 (Negative Surgical Margin),M,0.2746,0.189
C_D_C1709157 (Negative Surgical Margin),N,0.0152,0.0216
C_D_C1709157 (Negative Surgical Margin),P,0.7102,0.7895
C_D_C1761613 (Conjunctival hyperemia),M,0.9833,0.9647
C_D_C1761613 (Conjunctival hyperemia),N,0.007,0.0279
C_D_C1761613 (Conjunctival hyperemia),P,0.0097,0.0073
C_D_C1846718 (CREATININE CLEARANCE QUANTITATIVE TRAIT LOCUS),M,0.9059,0.8948
C_D_C1846718 (CREATININE CLEARANCE QUANTITATIVE TRAIT LOCUS),N,0.0004,0
C_D_C1846718 (CREATININE CLEARANCE QUANTITATIVE TRAIT LOCUS),P,0.0937,0.1051
C_D_C1858120 (Generalized hypotonia),M,0.9918,0.9988
C_D_C1858120 (Generalized hypotonia),N,0.0004,0
C_D_C1858120 (Generalized hypotonia),P,0.0078,0.0011
C_D_C1858724 (CARONTE),M,0.9911,0.9713
C_D_C1858724 (CARONTE),N,0.0004,0.002
C_D_C1858724 (CARONTE),P,0.0086,0.0267
C_D_C1866503 (ACUTE INSULIN RESPONSE),M,0.8689,0.7394
C_D_C1866503 (ACUTE INSULIN RESPONSE),N,0.0031,0.0059
C_D_C1866503 (ACUTE INSULIN RESPONSE),P,0.128,0.2547
C_D_C1873497 (Normal assessment finding),M,0.0747,0.147
C_D_C1873497 (Normal assessment finding),N,0.0093,0.0133
C_D_C1873497 (Normal assessment finding),P,0.916,0.8397
C_D_C1880851 (Fracture of Medical Device Material),M,0.9879,0.8621
C_D_C1880851 (Fracture of Medical Device Material),N,0.0031,0.0416
C_D_C1880851 (Fracture of Medical Device Material),P,0.0089,0.0963
C_D_C1881674 (Medical Device Emits Smoke),M,0.7935,0.6467
C_D_C1881674 (Medical Device Emits Smoke),N,0.0257,0.0214
C_D_C1881674 (Medical Device Emits Smoke),P,0.1809,0.332
C_D_C1881706 (Medical Device Material Crack),M,0.9424,0.8899
C_D_C1881706 (Medical Device Material Crack),N,0.0016,0.0006
C_D_C1881706 (Medical Device Material Crack),P,0.056,0.1095
C_D_C1882136 (Obstruction within Medical Device),M,0.9934,0.9798
C_D_C1882136 (Obstruction within Medical Device),N,0.0008,0.0043
C_D_C1882136 (Obstruction within Medical Device),P,0.0058,0.0159
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),M,0.7783,0.4656
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),N,0.0747,0.1356
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),P,0.147,0.3988
C_D_C1959629 ('Seizure  CTCAE 3.0'),M,0.9218,0.9456
C_D_C1959629 ('Seizure  CTCAE 3.0'),N,0.0405,0.018
C_D_C1959629 ('Seizure  CTCAE 3.0'),P,0.0377,0.0364
C_D_C1959630 ('Eye Pain  CTCAE 3.0'),M,0.9588,0.9306
C_D_C1959630 ('Eye Pain  CTCAE 3.0'),N,0.0093,0.0077
C_D_C1959630 ('Eye Pain  CTCAE 3.0'),P,0.0319,0.0618
C_D_C1961028 (Oriented to place),M,0.8152,0.6348
C_D_C1961028 (Oriented to place),N,0.0012,0.0011
C_D_C1961028 (Oriented to place),P,0.1836,0.3642
C_D_C1961131 ('Cough  CTCAE'),M,0.2727,0.6021
C_D_C1961131 ('Cough  CTCAE'),N,0.0704,0.2215
