Feature (description),Attribute,M,T
C_D_C0863146 (Yellow color on exam),P,0.0172,0.0545
C_D_C0948106 (Rupture of Membranes),M,0.8496,0.7872
C_D_C0948106 (Rupture of Membranes),N,0.0017,0.0017
C_D_C0948106 (Rupture of Membranes),P,0.1488,0.2112
C_D_C1260880 (Rhinorrhea),M,0.9374,0.7941
C_D_C1260880 (Rhinorrhea),N,0.0139,0.0116
C_D_C1260880 (Rhinorrhea),P,0.0487,0.1942
C_D_C1261031 (Platelet morphology - result),M,0.9959,0.983
C_D_C1261031 (Platelet morphology - result),N,0,0.0003
C_D_C1261031 (Platelet morphology - result),P,0.0041,0.0166
C_D_C1261327 (Family history of asthma),M,0.9929,0.9717
C_D_C1261327 (Family history of asthma),N,0.0004,0.0017
C_D_C1261327 (Family history of asthma),P,0.0067,0.0266
C_D_C1277295 (Cough with fever),M,0.9979,0.9797
C_D_C1277295 (Cough with fever),N,0.0007,0.0007
C_D_C1277295 (Cough with fever),P,0.0014,0.0196
C_D_C1299487 (Patient name),M,0.917,0.9681
C_D_C1299487 (Patient name),N,0,0.0003
C_D_C1299487 (Patient name),P,0.083,0.0316
C_D_C1320474 (Nuchal Rigidity),M,0.9839,0.9674
C_D_C1320474 (Nuchal Rigidity),N,0.0153,0.0296
C_D_C1320474 (Nuchal Rigidity),P,0.0009,0.003
C_D_C1321013 (Hydration status),M,0.974,0.8793
C_D_C1321013 (Hydration status),N,0.0003,0.0013
C_D_C1321013 (Hydration status),P,0.0257,0.1194
C_D_C1363945 (Therapy Object (animal model)),M,0.8781,0.7662
C_D_C1363945 (Therapy Object (animal model)),N,0.0009,0.0027
C_D_C1363945 (Therapy Object (animal model)),P,0.121,0.2311
C_D_C1366940 (Tattoo),M,0.9515,0.9568
C_D_C1366940 (Tattoo),N,0,0.0003
C_D_C1366940 (Tattoo),P,0.0485,0.0429
C_D_C1444775 (Sharp sensation quality),M,0.9512,0.9844
C_D_C1444775 (Sharp sensation quality),N,0.0007,0.0003
C_D_C1444775 (Sharp sensation quality),P,0.0481,0.0153
C_D_C1446409 (Positive),M,0.8307,0.6907
C_D_C1446409 (Positive),N,0.0598,0.0406
C_D_C1446409 (Positive),P,0.1095,0.2687
C_D_C1457887 (Symptoms),M,0.4661,0.278
C_D_C1457887 (Symptoms),N,0.0581,0.0399
C_D_C1457887 (Symptoms),P,0.4758,0.6821
C_D_C1504561 (Hypophagia),M,0.9969,0.9837
C_D_C1504561 (Hypophagia),N,0,0.0003
C_D_C1504561 (Hypophagia),P,0.0031,0.016
C_D_C1509143 (Physical assessment findings),M,0.8387,0.7526
C_D_C1509143 (Physical assessment findings),N,0.0078,0.007
C_D_C1509143 (Physical assessment findings),P,0.1535,0.2404
C_D_C1513302 (Mild Adverse Event),M,0.6919,0.6229
C_D_C1513302 (Mild Adverse Event),N,0.0018,0.0007
C_D_C1513302 (Mild Adverse Event),P,0.3063,0.3765
C_D_C1514241 (Positive Finding),M,0.8616,0.7629
C_D_C1514241 (Positive Finding),N,0.0598,0.0392
C_D_C1514241 (Positive Finding),P,0.0786,0.1979
C_D_C1546419 (Ambulatory Status - Oxygen therapy),M,0.9403,0.8124
C_D_C1546419 (Ambulatory Status - Oxygen therapy),N,0,0.0003
C_D_C1546419 (Ambulatory Status - Oxygen therapy),P,0.0596,0.1872
C_D_C1548428 (Referral type - Psychiatric),M,0.5229,0.5258
C_D_C1548428 (Referral type - Psychiatric),N,0.0028,0.0007
C_D_C1548428 (Referral type - Psychiatric),P,0.4743,0.4736
C_D_C1550457 (Normal Observation Interpretation),M,0.1696,0.1107
C_D_C1550457 (Normal Observation Interpretation),N,0.0117,0.0123
C_D_C1550457 (Normal Observation Interpretation),P,0.8186,0.877
C_D_C1551394 (normal Device Alert Level),M,0.1696,0.1107
C_D_C1551394 (normal Device Alert Level),N,0.0117,0.0123
C_D_C1551394 (normal Device Alert Level),P,0.8186,0.877
C_D_C1551395 (Device Alert Level - Serious),M,0.9785,0.9691
C_D_C1551395 (Device Alert Level - Serious),N,0.0021,0.002
C_D_C1551395 (Device Alert Level - Serious),P,0.0194,0.0289
C_D_C1551396 (DeviceAlertLevel - Critical),M,0.9906,0.9667
C_D_C1551396 (DeviceAlertLevel - Critical),N,0.0003,0.0003
C_D_C1551396 (DeviceAlertLevel - Critical),P,0.0091,0.0329
C_D_C1552745 (Equipment Alert Level - Serious),M,0.9785,0.9691
C_D_C1552745 (Equipment Alert Level - Serious),N,0.0021,0.002
C_D_C1552745 (Equipment Alert Level - Serious),P,0.0194,0.0289
C_D_C1554187 (Gender Status - Intact),M,0.353,0.3452
C_D_C1554187 (Gender Status - Intact),N,0.0014,0.001
C_D_C1554187 (Gender Status - Intact),P,0.6456,0.6538
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),M,0.8298,0.7024
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),N,0.0032,0.0023
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),P,0.167,0.2953
C_D_C1557397 (Adverse Event Associated with Pain),M,0.4795,0.7443
C_D_C1557397 (Adverse Event Associated with Pain),N,0.1038,0.0489
C_D_C1557397 (Adverse Event Associated with Pain),P,0.4167,0.2069
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),M,0.2306,0.1543
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),N,0.0005,0.0007
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),P,0.7689,0.845
C_D_C1561534 ('Lipase  CTCAE'),M,0.9352,0.9538
C_D_C1561534 ('Lipase  CTCAE'),N,0.0006,0.0003
C_D_C1561534 ('Lipase  CTCAE'),P,0.0643,0.0459
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),M,0.9825,0.9355
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),N,0,0.0003
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),P,0.0175,0.0642
C_D_C1623040 (Breastfeeding (mother)),M,0.9982,0.996
C_D_C1623040 (Breastfeeding (mother)),N,0.0001,0.0003
C_D_C1623040 (Breastfeeding (mother)),P,0.0017,0.0037
C_D_C1623041 (Breastfeeding (infant)),M,0.9982,0.996
C_D_C1623041 (Breastfeeding (infant)),N,0.0001,0.0003
C_D_C1623041 (Breastfeeding (infant)),P,0.0017,0.0037
C_D_C1642390 (Pupil equal round and reacting to light),M,0.8333,0.876
C_D_C1642390 (Pupil equal round and reacting to light),N,0.0005,0.0003
C_D_C1642390 (Pupil equal round and reacting to light),P,0.1662,0.1237
C_D_C1659989 (Respiratory problem),M,0.9987,0.9914
C_D_C1659989 (Respiratory problem),N,0.0001,0.0003
C_D_C1659989 (Respiratory problem),P,0.0012,0.0083
C_D_C1704632 (Disease Response),M,0.8897,0.7892
C_D_C1704632 (Disease Response),N,0.0019,0.0027
C_D_C1704632 (Disease Response),P,0.1084,0.2082
C_D_C1706353 (Crack),M,0.921,0.9305
C_D_C1706353 (Crack),N,0.0003,0.0017
C_D_C1706353 (Crack),P,0.0787,0.0678
C_D_C1709157 (Negative Surgical Margin),M,0.1835,0.2202
C_D_C1709157 (Negative Surgical Margin),N,0.0184,0.013
C_D_C1709157 (Negative Surgical Margin),P,0.798,0.7669
C_D_C1761613 (Conjunctival hyperemia),M,0.9671,0.9814
C_D_C1761613 (Conjunctival hyperemia),N,0.0256,0.0143
C_D_C1761613 (Conjunctival hyperemia),P,0.0073,0.0043
C_D_C1834704 (Intact sensation),M,0.9867,0.9967
C_D_C1834704 (Intact sensation),N,0,0.0003
C_D_C1834704 (Intact sensation),P,0.0133,0.003
C_D_C1858724 (CARONTE),M,0.9713,0.991
C_D_C1858724 (CARONTE),N,0.002,0.0007
C_D_C1858724 (CARONTE),P,0.0267,0.0083
C_D_C1866503 (ACUTE INSULIN RESPONSE),M,0.7232,0.7659
C_D_C1866503 (ACUTE INSULIN RESPONSE),N,0.0043,0.0037
C_D_C1866503 (ACUTE INSULIN RESPONSE),P,0.2725,0.2305
C_D_C1873497 (Normal assessment finding),M,0.1696,0.1107
C_D_C1873497 (Normal assessment finding),N,0.0117,0.0123
C_D_C1873497 (Normal assessment finding),P,0.8186,0.877
C_D_C1880851 (Fracture of Medical Device Material),M,0.8723,0.986
C_D_C1880851 (Fracture of Medical Device Material),N,0.0375,0.0037
C_D_C1880851 (Fracture of Medical Device Material),P,0.0903,0.0103
C_D_C1881674 (Medical Device Emits Smoke),M,0.6807,0.726
C_D_C1881674 (Medical Device Emits Smoke),N,0.0303,0.0389
C_D_C1881674 (Medical Device Emits Smoke),P,0.289,0.2351
C_D_C1881706 (Medical Device Material Crack),M,0.9215,0.9305
C_D_C1881706 (Medical Device Material Crack),N,0.0003,0.0017
C_D_C1881706 (Medical Device Material Crack),P,0.0782,0.0678
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),M,0.4795,0.7443
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),N,0.1038,0.0489
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),P,0.4167,0.2069
C_D_C1961028 (Oriented to place),M,0.65,0.7226
C_D_C1961028 (Oriented to place),N,0.0015,0.0013
C_D_C1961028 (Oriented to place),P,0.3485,0.276
C_D_C1961131 ('Cough  CTCAE'),M,0.7565,0.2873
C_D_C1961131 ('Cough  CTCAE'),N,0.1189,0.0572
C_D_C1961131 ('Cough  CTCAE'),P,0.1246,0.6555
C_D_C1962948 ('Atelectasis  CTCAE'),M,0.9914,0.9774
C_D_C1962948 ('Atelectasis  CTCAE'),N,0,0.0003
C_D_C1962948 ('Atelectasis  CTCAE'),P,0.0086,0.0223
C_D_C1962958 ('Hematoma  CTCAE'),M,0.9678,0.99
C_D_C1962958 ('Hematoma  CTCAE'),N,0.0039,0.0007
C_D_C1962958 ('Hematoma  CTCAE'),P,0.0283,0.0093
C_D_C1963064 ('Anxiety  CTCAE 3.0'),M,0.9139,0.9398
C_D_C1963064 ('Anxiety  CTCAE 3.0'),N,0.0095,0.0093
C_D_C1963064 ('Anxiety  CTCAE 3.0'),P,0.0766,0.0509
C_D_C1963065 ('Apnea  CTCAE'),M,0.9807,0.9734
C_D_C1963065 ('Apnea  CTCAE'),N,0.0021,0.0067
C_D_C1963065 ('Apnea  CTCAE'),P,0.0172,0.02
C_D_C1963071 ('Back Pain  CTCAE 3.0'),M,0.833,0.8789
C_D_C1963071 ('Back Pain  CTCAE 3.0'),N,0.029,0.0203
C_D_C1963071 ('Back Pain  CTCAE 3.0'),P,0.138,0.1008
C_D_C1963076 ('Platelets  CTCAE'),M,0.8045,0.6834
C_D_C1963076 ('Platelets  CTCAE'),N,0.0001,0.0003
C_D_C1963076 ('Platelets  CTCAE'),P,0.1954,0.3163
C_D_C1963090 ('Dehydration  CTCAE'),M,0.9562,0.842
C_D_C1963090 ('Dehydration  CTCAE'),N,0.0013,0.0053
C_D_C1963090 ('Dehydration  CTCAE'),P,0.0425,0.1526
C_D_C1963091 ('Diarrhea  CTCAE'),M,0.7555,0.5318
C_D_C1963091 ('Diarrhea  CTCAE'),N,0.0751,0.1367
C_D_C1963091 ('Diarrhea  CTCAE'),P,0.1694,0.3316
C_D_C1963093 ('Dizziness  CTCAE 3.0'),M,0.9176,0.9262
C_D_C1963093 ('Dizziness  CTCAE 3.0'),N,0.0117,0.0053
C_D_C1963093 ('Dizziness  CTCAE 3.0'),P,0.0708,0.0685
C_D_C1963113 ('Fracture  CTCAE'),M,0.8723,0.986
C_D_C1963113 ('Fracture  CTCAE'),N,0.0375,0.0037
C_D_C1963113 ('Fracture  CTCAE'),P,0.0903,0.0103
C_D_C1963138 ('Hypertension  CTCAE'),M,0.8012,0.8214
C_D_C1963138 ('Hypertension  CTCAE'),N,0.0053,0.0017
C_D_C1963138 ('Hypertension  CTCAE'),P,0.1935,0.1769
C_D_C1963140 ('Hypoxia  CTCAE'),M,0.9896,0.9445
C_D_C1963140 ('Hypoxia  CTCAE'),N,0.0028,0.0076
C_D_C1963140 ('Hypoxia  CTCAE'),P,0.0076,0.0479
C_D_C1963177 ('Muscle Pain  CTCAE 3'),M,0.9749,0.9378
C_D_C1963177 ('Muscle Pain  CTCAE 3'),N,0.0133,0.0076
C_D_C1963177 ('Muscle Pain  CTCAE 3'),P,0.0118,0.0545
C_D_C1963179 ('Nausea  CTCAE 3.0'),M,0.6674,0.6428
C_D_C1963179 ('Nausea  CTCAE 3.0'),N,0.1188,0.0981
C_D_C1963179 ('Nausea  CTCAE 3.0'),P,0.2138,0.2591
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),M,0.9713,0.9854
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),N,0.0017,0.0007
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),P,0.027,0.014
C_D_C1963215 ('Pneumothorax  CTCAE'),M,0.961,0.9192
C_D_C1963215 ('Pneumothorax  CTCAE'),N,0.0083,0.0113
C_D_C1963215 ('Pneumothorax  CTCAE'),P,0.0307,0.0695
C_D_C1963221 ('Aspiration  CTCAE'),M,0.9914,0.983
C_D_C1963221 ('Aspiration  CTCAE'),N,0.0004,0.0013
C_D_C1963221 ('Aspiration  CTCAE'),P,0.0082,0.0156
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),M,0.9816,0.9268
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),N,0.0001,0.0003
C_D_C1963246 ('Sinus Tachycardia  CTCAE 3.0'),P,0.0183,0.0728
C_D_C1963281 ('Vomiting  CTCAE'),M,0.7499,0.5949
C_D_C1963281 ('Vomiting  CTCAE'),N,0.1377,0.1852
C_D_C1963281 ('Vomiting  CTCAE'),P,0.1124,0.2198
C_D_C1998827 (Respiratory Status),M,0.9968,0.9827
C_D_C1998827 (Respiratory Status),N,0,0.0003
C_D_C1998827 (Respiratory Status),P,0.0032,0.017
C_D_C1999266 ('Depression  CTCAE'),M,0.924,0.9588
C_D_C1999266 ('Depression  CTCAE'),N,0.008,0.0047
C_D_C1999266 ('Depression  CTCAE'),P,0.068,0.0366
C_D_C2004062 (History of previous events),M,0.6152,0.4972
C_D_C2004062 (History of previous events),N,0.0288,0.0256
C_D_C2004062 (History of previous events),P,0.356,0.4772
C_D_C2010848 (jaundice),M,0.9428,0.9139
C_D_C2010848 (jaundice),N,0.0512,0.0791
C_D_C2010848 (jaundice),P,0.0061,0.007
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),M,0.9816,0.9268
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),N,0.0001,0.0003
C_D_C2108109 (continuous electrocardiogram sinus tachycardia),P,0.0183,0.0728
C_D_C2242996 (Has tingling sensation),M,0.9569,0.979
C_D_C2242996 (Has tingling sensation),N,0.0293,0.0183
C_D_C2242996 (Has tingling sensation),P,0.0138,0.0027
C_D_C2364135 (Discomfort),M,0.9127,0.9571
C_D_C2364135 (Discomfort),N,0.0044,0.0027
C_D_C2364135 (Discomfort),P,0.0829,0.0402
C_D_C2709070 (on room air),M,0.9057,0.8763
C_D_C2709070 (on room air),N,0.0005,0.001
C_D_C2709070 (on room air),P,0.0938,0.1227
C_D_C2712334 (Actual Aspiration),M,0.9914,0.983
C_D_C2712334 (Actual Aspiration),N,0.0004,0.0013
C_D_C2712334 (Actual Aspiration),P,0.0082,0.0156
C_D_C2826292 (Related to Cancer),M,0.8914,0.8603
C_D_C2826292 (Related to Cancer),N,0.003,0.0007
C_D_C2826292 (Related to Cancer),P,0.1057,0.139
C_D_C2826600 (Tissue Congestion),M,0.9639,0.8237
C_D_C2826600 (Tissue Congestion),N,0.0019,0.0047
C_D_C2826600 (Tissue Congestion),P,0.0341,0.1716
C_D_C2827071 (Unintentional Material Aspiration),M,0.9914,0.983
C_D_C2827071 (Unintentional Material Aspiration),N,0.0004,0.0013
C_D_C2827071 (Unintentional Material Aspiration),P,0.0082,0.0156
C_D_C2926602 ('Discharge  body substance'),M,0.3957,0.4077
C_D_C2926602 ('Discharge  body substance'),N,0.1283,0.2115
C_D_C2926602 ('Discharge  body substance'),P,0.476,0.3808
C_D_C2957312 (Head bobbing),M,0.9998,0.997
C_D_C2957312 (Head bobbing),N,0.0001,0.0003
C_D_C2957312 (Head bobbing),P,0.0002,0.0027
C_D_C3160712 ('Palpitations  CTCAE'),M,0.9071,0.9352
C_D_C3160712 ('Palpitations  CTCAE'),N,0.043,0.0346
C_D_C3160712 ('Palpitations  CTCAE'),P,0.0499,0.0303
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),M,0.9966,0.98
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),N,0.0003,0.004
C_D_C3272283 (American College of Cardiology/American Heart Association Lesion Complexity Score C),P,0.0031,0.016
C_D_C3472705 (Mild dehydration),M,0.9951,0.9854
C_D_C3472705 (Mild dehydration),N,0.0001,0.0003
C_D_C3472705 (Mild dehydration),P,0.0048,0.0143
C_D_C3532617 (History of bronchiolitis),M,0.9997,0.9987
C_D_C3532617 (History of bronchiolitis),N,0,0.0003
C_D_C3532617 (History of bronchiolitis),P,0.0003,0.001
C_D_C3539909 (Allergic disposition),M,0.9256,0.8919
C_D_C3539909 (Allergic disposition),N,0.0073,0.005
C_D_C3539909 (Allergic disposition),P,0.0671,0.1031
C_D_C3641827 (Agree),M,0.9173,0.9079
C_D_C3641827 (Agree),N,0.0018,0.002
C_D_C3641827 (Agree),P,0.0809,0.0901
C_D_C3714552 (Weakness),M,0.7874,0.7649
C_D_C3714552 (Weakness),N,0.0489,0.0286
C_D_C3714552 (Weakness),P,0.1637,0.2065
C_D_C3714772 (Recurrent fevers),M,0.9924,0.989
C_D_C3714772 (Recurrent fevers),N,0.006,0.0027
C_D_C3714772 (Recurrent fevers),P,0.0016,0.0083
C_D_C3810851 (Center of town),M,0.9695,0.9834
C_D_C3810851 (Center of town),N,0.0002,0.001
C_D_C3810851 (Center of town),P,0.0302,0.0156
C_D_C3812660 (Skin Bruise),M,0.955,0.992
C_D_C3812660 (Skin Bruise),N,0.0113,0.0023
C_D_C3812660 (Skin Bruise),P,0.0336,0.0057
C_D_C3814420 (Full Term Birth),M,0.9812,0.9581
C_D_C3814420 (Full Term Birth),N,0,0.0003
C_D_C3814420 (Full Term Birth),P,0.0188,0.0416
C_D_C3827868 (Tachycardia by ECG Finding),M,0.9489,0.8284
C_D_C3827868 (Tachycardia by ECG Finding),N,0.0104,0.013
C_D_C3827868 (Tachycardia by ECG Finding),P,0.0407,0.1586
C_D_C3829423 (Karnofsky Performance Status 80),M,0.9993,0.9963
C_D_C3829423 (Karnofsky Performance Status 80),N,0,0.0003
C_D_C3829423 (Karnofsky Performance Status 80),P,0.0007,0.0033
C_D_C3835651 (Resident - answer to question),M,0.5618,0.5181
C_D_C3835651 (Resident - answer to question),N,0.0025,0.0017
C_D_C3835651 (Resident - answer to question),P,0.4357,0.4802
C_D_C3841811 (Transplant),M,0.9949,0.9817
C_D_C3841811 (Transplant),N,0.0002,0.0013
C_D_C3841811 (Transplant),P,0.0049,0.017
C_D_C3842633 (At work),M,0.9785,0.9897
C_D_C3842633 (At work),N,0.0002,0.0003
C_D_C3842633 (At work),P,0.0213,0.01
C_D_C3842982 (Numbness or tingling),M,0.9654,0.9907
C_D_C3842982 (Numbness or tingling),N,0.0169,0.004
C_D_C3842982 (Numbness or tingling),P,0.0177,0.0053
C_D_C3843946 (Nausea or vomiting),M,0.9303,0.9458
C_D_C3843946 (Nausea or vomiting),N,0.0356,0.0316
C_D_C3843946 (Nausea or vomiting),P,0.0342,0.0226
C_D_C3845665 (UTD),M,0.991,0.9784
C_D_C3845665 (UTD),N,0.0003,0.0007
C_D_C3845665 (UTD),P,0.0087,0.021
C_D_C4018905 (Too early),M,0.9932,0.9857
C_D_C4018905 (Too early),N,0.0001,0.0007
C_D_C4018905 (Too early),P,0.0067,0.0136
C_D_C4018909 (Overdose),M,0.9905,0.9977
C_D_C4018909 (Overdose),N,0.0007,0.0007
C_D_C4018909 (Overdose),P,0.0088,0.0017
C_D_C4035626 (3 times),M,0.8872,0.9062
C_D_C4035626 (3 times),N,0.0001,0.0003
C_D_C4035626 (3 times),P,0.1127,0.0934
C_D_C4035627 (2 times),M,0.8436,0.846
C_D_C4035627 (2 times),N,0,0.0003
C_D_C4035627 (2 times),P,0.1564,0.1536
C_D_C4049863 (Radiologic Impression),M,0.1482,0.1044
C_D_C4049863 (Radiologic Impression),N,0.0024,0.0033
C_D_C4049863 (Radiologic Impression),P,0.8493,0.8923
C_D_C4050242 (Pathologic Complete Response),M,0.9972,0.992
C_D_C4050242 (Pathologic Complete Response),N,0,0.0003
C_D_C4050242 (Pathologic Complete Response),P,0.0027,0.0076
C_D_C4050568 (High Risk Acute Leukemia),M,0.9966,0.98
C_D_C4050568 (High Risk Acute Leukemia),N,0.0003,0.004
C_D_C4050568 (High Risk Acute Leukemia),P,0.0031,0.016
C_D_C4054315 (Organomegaly),M,0.747,0.6472
C_D_C4054315 (Organomegaly),N,0.2505,0.3505
C_D_C4054315 (Organomegaly),P,0.0025,0.0023
C_D_C4068735 (Rambling),M,0.9919,0.999
C_D_C4068735 (Rambling),N,0,0.0003
C_D_C4068735 (Rambling),P,0.0081,0.0007
C_D_C4068744 (Reactive to light),M,0.7842,0.8028
C_D_C4068744 (Reactive to light),N,0.0002,0.0007
C_D_C4068744 (Reactive to light),P,0.2155,0.1965
C_D_C4084859 (Peribronchial Cuffing),M,0.9993,0.9887
C_D_C4084859 (Peribronchial Cuffing),N,0,0.0003
C_D_C4084859 (Peribronchial Cuffing),P,0.0007,0.011
C_D_C4281574 (Much),M,0.8347,0.8274
C_D_C4281574 (Much),N,0.0081,0.015
C_D_C4281574 (Much),P,0.1572,0.1576
C_D_C4282165 (Swollen Lymph Node),M,0.6249,0.5397
C_D_C4282165 (Swollen Lymph Node),N,0.3498,0.4283
C_D_C4282165 (Swollen Lymph Node),P,0.0253,0.0319
C_D_C4283785 (Complete Pharyngeal Contraction),M,0.9388,0.8969
C_D_C4283785 (Complete Pharyngeal Contraction),N,0.0023,0.003
C_D_C4283785 (Complete Pharyngeal Contraction),P,0.0589,0.1001
C_D_C4283904 (Laboratory observation),M,0.889,0.7812
C_D_C4283904 (Laboratory observation),N,0.003,0.002
C_D_C4283904 (Laboratory observation),P,0.108,0.2168
C_D_C4318482 (Crutches Usually Used),M,0.9809,0.999
C_D_C4318482 (Crutches Usually Used),N,0.0005,0.0003
C_D_C4318482 (Crutches Usually Used),P,0.0186,0.0007
C_D_C4319571 (High risk),M,0.9966,0.98
C_D_C4319571 (High risk),N,0.0003,0.004
C_D_C4319571 (High risk),P,0.0031,0.016
C_D_C4321237 (High Level),M,0.9377,0.8434
C_D_C4321237 (High Level),N,0.0018,0.0033
C_D_C4321237 (High Level),P,0.0606,0.1533
C_D_C4321351 (Low Level),M,0.8955,0.8314
C_D_C4321351 (Low Level),N,0.0067,0.0083
C_D_C4321351 (Low Level),P,0.0978,0.1603
C_D_C4520890 (Nasal (intended site)),M,0.9751,0.9598
C_D_C4520890 (Nasal (intended site)),N,0.0032,0.003
C_D_C4520890 (Nasal (intended site)),P,0.0217,0.0372
C_D_C4521903 (Rectal (intended site)),M,0.9319,0.8903
C_D_C4521903 (Rectal (intended site)),N,0.0012,0.0003
C_D_C4521903 (Rectal (intended site)),P,0.0669,0.1094
C_D_C4521986 (Oral (intended site)),M,0.8294,0.7539
C_D_C4521986 (Oral (intended site)),N,0.0053,0.007
C_D_C4521986 (Oral (intended site)),P,0.1653,0.2391
C_D_C4522216 (Influenza B (result)),M,1,0.9408
C_D_C4522216 (Influenza B (result)),N,0,0.0106
C_D_C4522216 (Influenza B (result)),P,0,0.0486
C_D_C4534306 (Supplemental oxygen),M,0.995,0.9847
C_D_C4534306 (Supplemental oxygen),N,0.0011,0.001
C_D_C4534306 (Supplemental oxygen),P,0.0039,0.0143
C_D_C4534363 (At home),M,0.7692,0.6315
C_D_C4534363 (At home),N,0.0038,0.006
C_D_C4534363 (At home),P,0.2269,0.3625
C_D_C4552646 ('Myalgia  CTCAE 5'),M,0.9974,0.9714
C_D_C4552646 ('Myalgia  CTCAE 5'),N,0.0008,0.0013
C_D_C4552646 ('Myalgia  CTCAE 5'),P,0.0018,0.0273
C_D_C4552651 ('Respiratory Failure  CTCAE'),M,0.9961,0.9844
C_D_C4552651 ('Respiratory Failure  CTCAE'),N,0.0001,0.001
C_D_C4552651 ('Respiratory Failure  CTCAE'),P,0.0038,0.0146
C_D_C4552662 ('Rhinorrhea  CTCAE'),M,0.9591,0.8573
C_D_C4552662 ('Rhinorrhea  CTCAE'),N,0.0075,0.0076
C_D_C4552662 ('Rhinorrhea  CTCAE'),P,0.0334,0.135
C_D_C4552735 ('Anxiety  CTCAE 5.0'),M,0.9139,0.9398
C_D_C4552735 ('Anxiety  CTCAE 5.0'),N,0.0095,0.0093
C_D_C4552735 ('Anxiety  CTCAE 5.0'),P,0.0766,0.0509
C_D_C4552740 ('Fever  CTCAE'),M,0.6222,0.2637
C_D_C4552740 ('Fever  CTCAE'),N,0.2416,0.1061
C_D_C4552740 ('Fever  CTCAE'),P,0.1362,0.6302
C_D_C4552746 ('Sore Throat  CTCAE'),M,0.8967,0.6864
C_D_C4552746 ('Sore Throat  CTCAE'),N,0.0517,0.0678
C_D_C4552746 ('Sore Throat  CTCAE'),P,0.0516,0.2458
C_D_C4552777 ('Pleural Effusion  CTCAE'),M,0.9901,0.9584
C_D_C4552777 ('Pleural Effusion  CTCAE'),N,0.0015,0.012
C_D_C4552777 ('Pleural Effusion  CTCAE'),P,0.0083,0.0296
C_D_C4552837 ('Sepsis  CTCAE'),M,0.9874,0.9564
C_D_C4552837 ('Sepsis  CTCAE'),N,0.0009,0.003
C_D_C4552837 ('Sepsis  CTCAE'),P,0.0117,0.0406
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),M,0.9901,0.9687
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),N,0,0.0007
C_D_C4552842 ('Upper Respiratory Infection  CTCAE'),P,0.0098,0.0306
C_D_C4552844 ('Meningitis  CTCAE'),M,0.9761,0.9145
C_D_C4552844 ('Meningitis  CTCAE'),N,0.0017,0.0033
C_D_C4552844 ('Meningitis  CTCAE'),P,0.0223,0.0821
C_D_C4552845 ('Arthritis  CTCAE'),M,0.9169,0.9258
C_D_C4552845 ('Arthritis  CTCAE'),N,0.0005,0.0013
C_D_C4552845 ('Arthritis  CTCAE'),P,0.0826,0.0728
C_D_C4552901 ('Bronchospasm  CTCAE'),M,0.9959,0.9757
C_D_C4552901 ('Bronchospasm  CTCAE'),N,0.0002,0.0023
C_D_C4552901 ('Bronchospasm  CTCAE'),P,0.0038,0.0219
C_D_C4552903 ('Lethargy  CTCAE'),M,0.9905,0.9744
C_D_C4552903 ('Lethargy  CTCAE'),N,0.0033,0.0106
C_D_C4552903 ('Lethargy  CTCAE'),P,0.0062,0.015
C_D_C4552938 ('Productive Cough  CTCAE'),M,0.9851,0.9315
C_D_C4552938 ('Productive Cough  CTCAE'),N,0.0018,0.004
C_D_C4552938 ('Productive Cough  CTCAE'),P,0.0131,0.0645
C_D_C4552989 ('Malaise  CTCAE'),M,0.9834,0.9135
C_D_C4552989 ('Malaise  CTCAE'),N,0.0037,0.0037
C_D_C4552989 ('Malaise  CTCAE'),P,0.0129,0.0828
C_D_C4553004 ('Pain  CTCAE'),M,0.4795,0.7443
C_D_C4553004 ('Pain  CTCAE'),N,0.1038,0.0489
C_D_C4553004 ('Pain  CTCAE'),P,0.4167,0.2069
C_D_C4553185 ('Chills  CTCAE'),M,0.6642,0.6824
C_D_C4553185 ('Chills  CTCAE'),N,0.0829,0.0392
C_D_C4553185 ('Chills  CTCAE'),P,0.2529,0.2784
