Feature (description),Attribute,F,T
C_D_C0449426 (Source of infection),N,0.001,0.0001
C_D_C0449426 (Source of infection),P,0.0181,0.0035
C_D_C0455204 (Homicidal thoughts),M,0.9974,0.972
C_D_C0455204 (Homicidal thoughts),N,0.0006,0.0075
C_D_C0455204 (Homicidal thoughts),P,0.0019,0.0205
C_D_C0455458 (PMH - past medical history),M,0.6622,0.4773
C_D_C0455458 (PMH - past medical history),N,0.0255,0.0451
C_D_C0455458 (PMH - past medical history),P,0.3122,0.4776
C_D_C0455544 (H/O: asthma),M,0.9192,0.9736
C_D_C0455544 (H/O: asthma),N,0.0045,0.0017
C_D_C0455544 (H/O: asthma),P,0.0763,0.0248
C_D_C0455899 (Red throat),M,0.5908,0.8139
C_D_C0455899 (Red throat),N,0.1044,0.1007
C_D_C0455899 (Red throat),P,0.3048,0.0855
C_D_C0455900 (Moist oral mucosa),M,0.9777,0.9957
C_D_C0455900 (Moist oral mucosa),N,0.0003,0
C_D_C0455900 (Moist oral mucosa),P,0.022,0.0042
C_D_C0456984 (Test Result),M,0.9079,0.9591
C_D_C0456984 (Test Result),N,0.011,0.0042
C_D_C0456984 (Test Result),P,0.0811,0.0368
C_D_C0457096 (Yellow sputum),M,0.9825,0.9961
C_D_C0457096 (Yellow sputum),N,0.0003,0
C_D_C0457096 (Yellow sputum),P,0.0171,0.0039
C_D_C0457097 (Green sputum),M,0.9903,0.9989
C_D_C0457097 (Green sputum),N,0.0003,0
C_D_C0457097 (Green sputum),P,0.0094,0.001
C_D_C0460139 (Pressure (finding)),M,0.98,0.9596
C_D_C0460139 (Pressure (finding)),N,0.0006,0.0009
C_D_C0460139 (Pressure (finding)),P,0.0194,0.0395
C_D_C0475806 (1/3 meter (distance vision finding)),M,0.991,0.9683
C_D_C0475806 (1/3 meter (distance vision finding)),N,0.0003,0.0004
C_D_C0475806 (1/3 meter (distance vision finding)),P,0.0087,0.0313
C_D_C0476270 (Cardiovascular symptoms),M,0.7786,0.8869
C_D_C0476270 (Cardiovascular symptoms),N,0.0003,0
C_D_C0476270 (Cardiovascular symptoms),P,0.2211,0.1131
C_D_C0476273 (Respiratory distress),M,0.8368,0.9339
C_D_C0476273 (Respiratory distress),N,0.042,0.026
C_D_C0476273 (Respiratory distress),P,0.1212,0.04
C_D_C0489543 (History source),M,0.4974,0.7557
C_D_C0489543 (History source),N,0.0003,0
C_D_C0489543 (History source),P,0.5023,0.2443
C_D_C0489547 (Hospital course),M,0.8895,0.7764
C_D_C0489547 (Hospital course),N,0.0006,0.0007
C_D_C0489547 (Hospital course),P,0.1099,0.223
C_D_C0518610 (Social warmth),M,0.9929,0.9563
C_D_C0518610 (Social warmth),N,0.0003,0.008
C_D_C0518610 (Social warmth),P,0.0068,0.0358
C_D_C0521654 (Neurologic Deficits),M,0.7673,0.8568
C_D_C0521654 (Neurologic Deficits),N,0.0032,0.0084
C_D_C0521654 (Neurologic Deficits),P,0.2295,0.1348
C_D_C0524587 (Mean Corpuscular Volume (result)),M,0.7237,0.7765
C_D_C0524587 (Mean Corpuscular Volume (result)),N,0.0003,0
C_D_C0524587 (Mean Corpuscular Volume (result)),P,0.276,0.2234
C_D_C0542538 (Observation of Sensation),M,0.9318,0.7712
C_D_C0542538 (Observation of Sensation),N,0.0006,0.0026
C_D_C0542538 (Observation of Sensation),P,0.0676,0.2262
C_D_C0549123 (Large tonsils (finding)),M,0.9906,0.9976
C_D_C0549123 (Large tonsils (finding)),N,0.0058,0.0004
C_D_C0549123 (Large tonsils (finding)),P,0.0036,0.002
C_D_C0549206 (Patient currently pregnant),M,0.968,0.9864
C_D_C0549206 (Patient currently pregnant),N,0.0071,0.001
C_D_C0549206 (Patient currently pregnant),P,0.0249,0.0126
C_D_C0557134 (Lives with mother),M,0.9829,0.9958
C_D_C0557134 (Lives with mother),N,0.0006,0.0002
C_D_C0557134 (Lives with mother),P,0.0165,0.0039
C_D_C0558145 (Skin appearance normal (finding)),M,0.0911,0.1376
C_D_C0558145 (Skin appearance normal (finding)),N,0.0065,0.0118
C_D_C0558145 (Skin appearance normal (finding)),P,0.9024,0.8506
C_D_C0562381 (Victim of abuse finding),M,0.9939,0.9804
C_D_C0562381 (Victim of abuse finding),N,0.0003,0.001
C_D_C0562381 (Victim of abuse finding),P,0.0058,0.0186
C_D_C0562483 (Persistent cough),M,0.9835,0.9978
C_D_C0562483 (Persistent cough),N,0.0013,0.0001
C_D_C0562483 (Persistent cough),P,0.0152,0.0021
C_D_C0566275 (Able to drink),M,0.9819,0.9964
C_D_C0566275 (Able to drink),N,0.001,0.0001
C_D_C0566275 (Able to drink),P,0.0171,0.0035
C_D_C0577559 (Mass of body structure),M,0.9176,0.8528
C_D_C0577559 (Mass of body structure),N,0.0048,0.0065
C_D_C0577559 (Mass of body structure),P,0.0776,0.1407
C_D_C0577573 (Mass of body region),M,0.9182,0.8581
C_D_C0577573 (Mass of body region),N,0.0045,0.0064
C_D_C0577573 (Mass of body region),P,0.0772,0.1355
C_D_C0578617 (Pupils equal),M,0.9173,0.8708
C_D_C0578617 (Pupils equal),N,0.0006,0.0001
C_D_C0578617 (Pupils equal),P,0.0821,0.1291
C_D_C0578671 (Does move),M,0.6008,0.8097
C_D_C0578671 (Does move),N,0.0003,0.0003
C_D_C0578671 (Does move),P,0.3988,0.19
C_D_C0582051 (Feels warm),M,0.1399,0.2127
C_D_C0582051 (Feels warm),N,0.0016,0.0082
C_D_C0582051 (Feels warm),P,0.8584,0.7791
C_D_C0586406 (Eye symptom),M,0.7178,0.8697
C_D_C0586406 (Eye symptom),N,0.001,0.0002
C_D_C0586406 (Eye symptom),P,0.2812,0.13
C_D_C0586407 (Skin symptom),M,0.6516,0.8395
C_D_C0586407 (Skin symptom),N,0.0023,0.001
C_D_C0586407 (Skin symptom),P,0.3462,0.1596
C_D_C0586514 (Discharge status),M,0.8924,0.8223
C_D_C0586514 (Discharge status),N,0.0003,0
C_D_C0586514 (Discharge status),P,0.1073,0.1777
C_D_C0587366 (Urine cocaine level result),M,0.9948,0.9824
C_D_C0587366 (Urine cocaine level result),N,0.0003,0
C_D_C0587366 (Urine cocaine level result),P,0.0048,0.0176
C_D_C0589120 (Follow-up status),M,0.9276,0.972
C_D_C0589120 (Follow-up status),N,0.0026,0.0001
C_D_C0589120 (Follow-up status),P,0.0698,0.0279
C_D_C0600116 (Does speak),M,0.9851,0.9647
C_D_C0600116 (Does speak),N,0.0003,0.0012
C_D_C0600116 (Does speak),P,0.0145,0.0341
C_D_C0600457 (Gravidity),M,0.9719,0.9865
C_D_C0600457 (Gravidity),N,0.0074,0.0009
C_D_C0600457 (Gravidity),P,0.0207,0.0127
C_D_C0681405 (Preschool Completion),M,0.9913,0.999
C_D_C0681405 (Preschool Completion),N,0.0003,0
C_D_C0681405 (Preschool Completion),P,0.0084,0.001
C_D_C0687152 (Does cough),M,0.9893,0.9985
C_D_C0687152 (Does cough),N,0.0003,0
C_D_C0687152 (Does cough),P,0.0103,0.0015
C_D_C0700153 (Myotonus (finding)),M,0.9984,0.9903
C_D_C0700153 (Myotonus (finding)),N,0.0003,0.0001
C_D_C0700153 (Myotonus (finding)),P,0.0013,0.0096
C_D_C0700292 (Hypoxemia),M,0.9838,0.9974
C_D_C0700292 (Hypoxemia),N,0.0016,0.0003
C_D_C0700292 (Hypoxemia),P,0.0145,0.0023
C_D_C0728731 (Prematurity of fetus),M,0.9919,0.9985
C_D_C0728731 (Prematurity of fetus),N,0.001,0.0001
C_D_C0728731 (Prematurity of fetus),P,0.0071,0.0014
C_D_C0728899 (Intoxication),M,0.9984,0.9853
C_D_C0728899 (Intoxication),N,0.0003,0.0004
C_D_C0728899 (Intoxication),P,0.0013,0.0143
C_D_C0740418 (Chronic back pain),M,0.9958,0.9823
C_D_C0740418 (Chronic back pain),N,0.0003,0.0001
C_D_C0740418 (Chronic back pain),P,0.0039,0.0176
C_D_C0741302 (atypia morphology),M,0.9577,0.9821
C_D_C0741302 (atypia morphology),N,0.0006,0.0009
C_D_C0741302 (atypia morphology),P,0.0417,0.017
C_D_C0741585 (BODY ACHE),M,0.9832,0.9951
C_D_C0741585 (BODY ACHE),N,0.0003,0.0001
C_D_C0741585 (BODY ACHE),P,0.0165,0.0048
C_D_C0743973 (FEVER HIGH (finding)),M,0.9683,0.998
C_D_C0743973 (FEVER HIGH (finding)),N,0.0006,0
C_D_C0743973 (FEVER HIGH (finding)),P,0.031,0.0019
C_D_C0744689 (heart size),M,0.9825,0.9966
C_D_C0744689 (heart size),N,0.0003,0
C_D_C0744689 (heart size),P,0.0171,0.0034
C_D_C0744961 (surgical history),M,0.6015,0.7442
C_D_C0744961 (surgical history),N,0.0003,0.0004
C_D_C0744961 (surgical history),P,0.3982,0.2554
C_D_C0746467 (Current Medication),M,0.9964,0.985
C_D_C0746467 (Current Medication),N,0.0003,0.0015
C_D_C0746467 (Current Medication),P,0.0032,0.0135
C_D_C0746674 (Generalized muscle weakness),M,0.9657,0.9842
C_D_C0746674 (Generalized muscle weakness),N,0.0003,0.0003
C_D_C0746674 (Generalized muscle weakness),P,0.0339,0.0156
C_D_C0746857 (Focal Neurologic Deficits),M,0.924,0.9498
C_D_C0746857 (Focal Neurologic Deficits),N,0.074,0.0476
C_D_C0746857 (Focal Neurologic Deficits),P,0.0019,0.0026
C_D_C0746961 (Oxygen saturation below reference range),M,0.9858,0.9971
C_D_C0746961 (Oxygen saturation below reference range),N,0.0003,0.0005
C_D_C0746961 (Oxygen saturation below reference range),P,0.0139,0.0024
C_D_C0750280 (Visual changes),M,0.9871,0.9715
C_D_C0750280 (Visual changes),N,0.0036,0.0104
C_D_C0750280 (Visual changes),P,0.0094,0.018
C_D_C0750484 (Confirmation),M,0.9764,0.9522
C_D_C0750484 (Confirmation),N,0.0016,0
C_D_C0750484 (Confirmation),P,0.022,0.0477
C_D_C0805732 (Completion Status),M,0.9231,0.9802
C_D_C0805732 (Completion Status),N,0.0006,0.0002
C_D_C0805732 (Completion Status),P,0.0763,0.0196
C_D_C0808334 (Tube number),M,0.9884,0.9994
C_D_C0808334 (Tube number),N,0.0003,0
C_D_C0808334 (Tube number),P,0.0113,0.0006
C_D_C0849970 (Feeling tired),M,0.9654,0.9911
C_D_C0849970 (Feeling tired),N,0.001,0.0002
C_D_C0849970 (Feeling tired),P,0.0336,0.0087
C_D_C0850149 (Dry cough),M,0.9059,0.9863
C_D_C0850149 (Dry cough),N,0.0003,0.0001
C_D_C0850149 (Dry cough),P,0.0937,0.0136
C_D_C0851511 (family issues),M,0.7175,0.8802
C_D_C0851511 (family issues),N,0.2815,0.1188
C_D_C0851511 (family issues),P,0.001,0.001
C_D_C0853697 (Neutrophil count decreased),M,0.989,0.9974
C_D_C0853697 (Neutrophil count decreased),N,0.0016,0.0006
C_D_C0853697 (Neutrophil count decreased),P,0.0094,0.002
C_D_C0859927 (Increased work of breathing),M,0.9289,0.9945
C_D_C0859927 (Increased work of breathing),N,0.033,0.0021
C_D_C0859927 (Increased work of breathing),P,0.0381,0.0034
C_D_C0863146 (Yellow color on exam),M,0.9224,0.9783
C_D_C0863146 (Yellow color on exam),N,0.0003,0.0001
C_D_C0863146 (Yellow color on exam),P,0.0772,0.0216
C_D_C0871269 (Rhythm),M,0.1933,0.1536
C_D_C0871269 (Rhythm),N,0.001,0.0024
C_D_C0871269 (Rhythm),P,0.8058,0.8441
C_D_C0948106 (Rupture of Membranes),M,0.7004,0.8484
C_D_C0948106 (Rupture of Membranes),N,0.0032,0.0014
C_D_C0948106 (Rupture of Membranes),P,0.2964,0.1502
C_D_C1116171 (Vaccinated at),M,0.9926,0.999
C_D_C1116171 (Vaccinated at),N,0.0003,0
C_D_C1116171 (Vaccinated at),P,0.0071,0.001
C_D_C1260880 (Rhinorrhea),M,0.7401,0.8726
C_D_C1260880 (Rhinorrhea),N,0.0427,0.0659
C_D_C1260880 (Rhinorrhea),P,0.2172,0.0615
C_D_C1261031 (Platelet morphology - result),M,0.9703,0.9934
C_D_C1261031 (Platelet morphology - result),N,0.0003,0
C_D_C1261031 (Platelet morphology - result),P,0.0294,0.0066
C_D_C1261327 (Family history of asthma),M,0.9573,0.9901
C_D_C1261327 (Family history of asthma),N,0.0029,0.0007
C_D_C1261327 (Family history of asthma),P,0.0398,0.0092
C_D_C1277295 (Cough with fever),M,0.9735,0.9977
C_D_C1277295 (Cough with fever),N,0.0003,0.0007
C_D_C1277295 (Cough with fever),P,0.0262,0.0016
C_D_C1279889 (Deterioration of status),M,0.916,0.8795
C_D_C1279889 (Deterioration of status),N,0.0039,0.0079
C_D_C1279889 (Deterioration of status),P,0.0802,0.1125
C_D_C1298907 (Yes - Presence findings),M,0.7793,0.8176
C_D_C1298907 (Yes - Presence findings),N,0.0126,0.0052
C_D_C1298907 (Yes - Presence findings),P,0.2081,0.1773
C_D_C1299487 (Patient name),M,0.9858,0.959
C_D_C1299487 (Patient name),N,0.0003,0.0001
C_D_C1299487 (Patient name),P,0.0139,0.0409
C_D_C1304698 (Liquid (finding)),M,0.9651,0.9852
C_D_C1304698 (Liquid (finding)),N,0.0003,0.0002
C_D_C1304698 (Liquid (finding)),P,0.0346,0.0146
C_D_C1314687 (Sexual intercourse - finding),M,0.0495,0.0671
C_D_C1314687 (Sexual intercourse - finding),N,0.0013,0.0073
C_D_C1314687 (Sexual intercourse - finding),P,0.9493,0.9255
C_D_C1320474 (Nuchal Rigidity),M,0.9725,0.9899
C_D_C1320474 (Nuchal Rigidity),N,0.0249,0.0092
C_D_C1320474 (Nuchal Rigidity),P,0.0026,0.001
C_D_C1321013 (Hydration status),M,0.8701,0.971
C_D_C1321013 (Hydration status),N,0.0016,0.0005
C_D_C1321013 (Hydration status),P,0.1283,0.0285
C_D_C1330956 (Base excess result),M,0.9729,0.9927
C_D_C1330956 (Base excess result),N,0.0003,0
C_D_C1330956 (Base excess result),P,0.0268,0.0073
C_D_C1363945 (Therapy Object (animal model)),M,0.6972,0.8574
C_D_C1363945 (Therapy Object (animal model)),N,0.0016,0.0006
C_D_C1363945 (Therapy Object (animal model)),P,0.3012,0.142
C_D_C1444775 (Sharp sensation quality),M,0.9903,0.9512
C_D_C1444775 (Sharp sensation quality),N,0.0003,0.0011
C_D_C1444775 (Sharp sensation quality),P,0.0094,0.0477
C_D_C1446409 (Positive),M,0.6377,0.825
C_D_C1446409 (Positive),N,0.054,0.0527
C_D_C1446409 (Positive),P,0.3083,0.1223
C_D_C1457887 (Symptoms),M,0.2505,0.4448
C_D_C1457887 (Symptoms),N,0.0459,0.06
C_D_C1457887 (Symptoms),P,0.7036,0.4952
C_D_C1504561 (Hypophagia),M,0.9816,0.9961
C_D_C1504561 (Hypophagia),N,0.0003,0
C_D_C1504561 (Hypophagia),P,0.0181,0.0038
C_D_C1509143 (Physical assessment findings),M,0.7534,0.838
C_D_C1509143 (Physical assessment findings),N,0.0081,0.0121
C_D_C1509143 (Physical assessment findings),P,0.2385,0.1499
C_D_C1513302 (Mild Adverse Event),M,0.6303,0.6853
C_D_C1513302 (Mild Adverse Event),N,0.0023,0.0016
C_D_C1513302 (Mild Adverse Event),P,0.3675,0.3131
C_D_C1514241 (Positive Finding),M,0.766,0.8692
C_D_C1514241 (Positive Finding),N,0.0498,0.0478
C_D_C1514241 (Positive Finding),P,0.1842,0.083
C_D_C1519353 (Skin Papule),M,0.9942,0.9932
C_D_C1519353 (Skin Papule),N,0.0003,0.0002
C_D_C1519353 (Skin Papule),P,0.0055,0.0066
C_D_C1519885 (Vaccinated (qualifier)),M,0.9926,0.999
C_D_C1519885 (Vaccinated (qualifier)),N,0.0003,0
C_D_C1519885 (Vaccinated (qualifier)),P,0.0071,0.001
C_D_C1546419 (Ambulatory Status - Oxygen therapy),M,0.6471,0.881
C_D_C1546419 (Ambulatory Status - Oxygen therapy),N,0.0003,0.0001
C_D_C1546419 (Ambulatory Status - Oxygen therapy),P,0.3526,0.1189
C_D_C1548428 (Referral type - Psychiatric),M,0.5527,0.5243
C_D_C1548428 (Referral type - Psychiatric),N,0.0003,0.0013
C_D_C1548428 (Referral type - Psychiatric),P,0.447,0.4744
C_D_C1549113 (Marital Status - Single),M,0.9867,0.9627
C_D_C1549113 (Marital Status - Single),N,0.0003,0.0003
C_D_C1549113 (Marital Status - Single),P,0.0129,0.0369
C_D_C1550457 (Normal Observation Interpretation),M,0.0911,0.1394
C_D_C1550457 (Normal Observation Interpretation),N,0.0065,0.0119
C_D_C1550457 (Normal Observation Interpretation),P,0.9024,0.8487
C_D_C1551394 (normal Device Alert Level),M,0.0911,0.1394
C_D_C1551394 (normal Device Alert Level),N,0.0065,0.0119
C_D_C1551394 (normal Device Alert Level),P,0.9024,0.8487
C_D_C1551396 (DeviceAlertLevel - Critical),M,0.9525,0.99
C_D_C1551396 (DeviceAlertLevel - Critical),N,0.0003,0.0005
C_D_C1551396 (DeviceAlertLevel - Critical),P,0.0472,0.0095
C_D_C1554187 (Gender Status - Intact),M,0.2877,0.35
C_D_C1554187 (Gender Status - Intact),N,0.0006,0.0021
C_D_C1554187 (Gender Status - Intact),P,0.7117,0.648
C_D_C1555319 (discharge diagnosis),M,0.9919,0.9643
C_D_C1555319 (discharge diagnosis),N,0.0003,0.0001
C_D_C1555319 (discharge diagnosis),P,0.0078,0.0356
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),M,0.5941,0.8051
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),N,0.011,0.0135
C_D_C1556354 (Adverse Event Associated with Constitutional Symptoms),P,0.395,0.1814
C_D_C1557119 (Adverse Event Associated with the Lymphatic System),M,0.7324,0.7926
C_D_C1557119 (Adverse Event Associated with the Lymphatic System),N,0.0003,0
C_D_C1557119 (Adverse Event Associated with the Lymphatic System),P,0.2673,0.2074
C_D_C1557397 (Adverse Event Associated with Pain),M,0.7414,0.4683
C_D_C1557397 (Adverse Event Associated with Pain),N,0.0821,0.1206
C_D_C1557397 (Adverse Event Associated with Pain),P,0.1765,0.4111
C_D_C1559138 ('Pruritus  CTCAE'),M,0.979,0.9682
C_D_C1559138 ('Pruritus  CTCAE'),N,0.0149,0.0126
C_D_C1559138 ('Pruritus  CTCAE'),P,0.0061,0.0192
C_D_C1559198 (Adverse Event Associated with Endocrine),M,0.7418,0.6823
C_D_C1559198 (Adverse Event Associated with Endocrine),N,0.0003,0.0006
C_D_C1559198 (Adverse Event Associated with Endocrine),P,0.2579,0.3171
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),M,0.106,0.2081
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),N,0.001,0.0004
C_D_C1559265 (Adverse Event Associated with the Gastrointestinal System),P,0.893,0.7915
C_D_C1560435 ('Gastritis  CTCAE'),M,0.9932,0.9731
C_D_C1560435 ('Gastritis  CTCAE'),N,0.0003,0.0004
C_D_C1560435 ('Gastritis  CTCAE'),P,0.0065,0.0265
C_D_C1561266 ('Trismus  CTCAE'),M,0.969,0.982
C_D_C1561266 ('Trismus  CTCAE'),N,0.0184,0.0144
C_D_C1561266 ('Trismus  CTCAE'),P,0.0126,0.0037
C_D_C1561534 ('Lipase  CTCAE'),M,0.9602,0.9229
C_D_C1561534 ('Lipase  CTCAE'),N,0.0003,0.0005
C_D_C1561534 ('Lipase  CTCAE'),P,0.0394,0.0766
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),M,0.9544,0.9798
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),N,0.0003,0
C_D_C1561549 ('Glomerular Filtration Rate  CTCAE'),P,0.0452,0.0201
C_D_C1578513 (Query Status Code - new),M,0.818,0.7497
C_D_C1578513 (Query Status Code - new),N,0.0598,0.1027
C_D_C1578513 (Query Status Code - new),P,0.1222,0.1476
C_D_C1642390 (Pupil equal round and reacting to light),M,0.9076,0.8567
C_D_C1642390 (Pupil equal round and reacting to light),N,0.0003,0
C_D_C1642390 (Pupil equal round and reacting to light),P,0.0921,0.1432
C_D_C1659989 (Respiratory problem),M,0.9787,0.9976
C_D_C1659989 (Respiratory problem),N,0.001,0
C_D_C1659989 (Respiratory problem),P,0.0204,0.0024
C_D_C1704632 (Disease Response),M,0.7159,0.8571
C_D_C1704632 (Disease Response),N,0.0039,0.002
C_D_C1704632 (Disease Response),P,0.2802,0.141
C_D_C1705108 (Yes (indicator)),M,0.7793,0.8176
C_D_C1705108 (Yes (indicator)),N,0.0126,0.0052
C_D_C1705108 (Yes (indicator)),P,0.2081,0.1773
C_D_C1705236 (Protocol Deviation),M,0.9722,0.9862
C_D_C1705236 (Protocol Deviation),N,0.0094,0.0006
C_D_C1705236 (Protocol Deviation),P,0.0184,0.0132
C_D_C1709157 (Negative Surgical Margin),M,0.2321,0.1635
C_D_C1709157 (Negative Surgical Margin),N,0.0136,0.0203
C_D_C1709157 (Negative Surgical Margin),P,0.7544,0.8162
C_D_C1846718 (CREATININE CLEARANCE QUANTITATIVE TRAIT LOCUS),M,0.9014,0.9999
C_D_C1846718 (CREATININE CLEARANCE QUANTITATIVE TRAIT LOCUS),N,0.0003,0
C_D_C1846718 (CREATININE CLEARANCE QUANTITATIVE TRAIT LOCUS),P,0.0983,0
C_D_C1858724 (CARONTE),M,0.9952,0.971
C_D_C1858724 (CARONTE),N,0.0003,0.0022
C_D_C1858724 (CARONTE),P,0.0045,0.0267
C_D_C1866503 (ACUTE INSULIN RESPONSE),M,0.8277,0.6808
C_D_C1866503 (ACUTE INSULIN RESPONSE),N,0.0019,0.005
C_D_C1866503 (ACUTE INSULIN RESPONSE),P,0.1703,0.3142
C_D_C1873497 (Normal assessment finding),M,0.0911,0.1394
C_D_C1873497 (Normal assessment finding),N,0.0065,0.0119
C_D_C1873497 (Normal assessment finding),P,0.9024,0.8487
C_D_C1879646 (Affected Area),M,0.999,0.9927
C_D_C1879646 (Affected Area),N,0.0003,0.0001
C_D_C1879646 (Affected Area),P,0.0006,0.0071
C_D_C1880851 (Fracture of Medical Device Material),M,0.9903,0.865
C_D_C1880851 (Fracture of Medical Device Material),N,0.0019,0.0391
C_D_C1880851 (Fracture of Medical Device Material),P,0.0078,0.0959
C_D_C1881674 (Medical Device Emits Smoke),M,0.7763,0.6899
C_D_C1881674 (Medical Device Emits Smoke),N,0.0229,0.0303
C_D_C1881674 (Medical Device Emits Smoke),P,0.2007,0.2798
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),M,0.7414,0.4683
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),N,0.0821,0.1206
C_D_C1882272 ('Pain by Anatomic Descriptor  CTCAE'),P,0.1765,0.4111
C_D_C1959630 ('Eye Pain  CTCAE 3.0'),M,0.9528,0.9171
C_D_C1959630 ('Eye Pain  CTCAE 3.0'),N,0.0142,0.022
C_D_C1959630 ('Eye Pain  CTCAE 3.0'),P,0.033,0.0609
C_D_C1961028 (Oriented to place),M,0.7353,0.6232
C_D_C1961028 (Oriented to place),N,0.001,0.0007
C_D_C1961028 (Oriented to place),P,0.2637,0.3761
C_D_C1961131 ('Cough  CTCAE'),M,0.2641,0.6602
C_D_C1961131 ('Cough  CTCAE'),N,0.0685,0.1634
C_D_C1961131 ('Cough  CTCAE'),P,0.6674,0.1764
C_D_C1962948 ('Atelectasis  CTCAE'),M,0.969,0.9903
C_D_C1962948 ('Atelectasis  CTCAE'),N,0.0003,0.0002
C_D_C1962948 ('Atelectasis  CTCAE'),P,0.0307,0.0095
C_D_C1962958 ('Hematoma  CTCAE'),M,0.9942,0.9626
C_D_C1962958 ('Hematoma  CTCAE'),N,0.0013,0.0047
C_D_C1962958 ('Hematoma  CTCAE'),P,0.0045,0.0327
C_D_C1962971 ('Myocarditis  CTCAE 3.0'),M,0.99,0.998
C_D_C1962971 ('Myocarditis  CTCAE 3.0'),N,0.0013,0
C_D_C1962971 ('Myocarditis  CTCAE 3.0'),P,0.0087,0.0019
C_D_C1963064 ('Anxiety  CTCAE 3.0'),M,0.9606,0.9026
C_D_C1963064 ('Anxiety  CTCAE 3.0'),N,0.0103,0.0216
C_D_C1963064 ('Anxiety  CTCAE 3.0'),P,0.0291,0.0758
C_D_C1963065 ('Apnea  CTCAE'),M,0.9622,0.978
C_D_C1963065 ('Apnea  CTCAE'),N,0.0145,0.0015
C_D_C1963065 ('Apnea  CTCAE'),P,0.0233,0.0206
C_D_C1963071 ('Back Pain  CTCAE 3.0'),M,0.8856,0.8162
C_D_C1963071 ('Back Pain  CTCAE 3.0'),N,0.033,0.0381
C_D_C1963071 ('Back Pain  CTCAE 3.0'),P,0.0814,0.1456
C_D_C1963076 ('Platelets  CTCAE'),M,0.7114,0.7695
C_D_C1963076 ('Platelets  CTCAE'),N,0.0003,0
C_D_C1963076 ('Platelets  CTCAE'),P,0.2883,0.2305
C_D_C1963083 ('Cholecystitis  CTCAE 3.0'),M,0.9926,0.9795
C_D_C1963083 ('Cholecystitis  CTCAE 3.0'),N,0.0003,0.0009
C_D_C1963083 ('Cholecystitis  CTCAE 3.0'),P,0.0071,0.0197
C_D_C1963090 ('Dehydration  CTCAE'),M,0.8213,0.9516
C_D_C1963090 ('Dehydration  CTCAE'),N,0.0068,0.0015
C_D_C1963090 ('Dehydration  CTCAE'),P,0.1719,0.0469
C_D_C1963091 ('Diarrhea  CTCAE'),M,0.5259,0.6664
C_D_C1963091 ('Diarrhea  CTCAE'),N,0.1477,0.1152
C_D_C1963091 ('Diarrhea  CTCAE'),P,0.3264,0.2184
C_D_C1963093 ('Dizziness  CTCAE 3.0'),M,0.9324,0.8955
C_D_C1963093 ('Dizziness  CTCAE 3.0'),N,0.0078,0.0137
C_D_C1963093 ('Dizziness  CTCAE 3.0'),P,0.0598,0.0908
C_D_C1963100 ('Dyspnea  CTCAE'),M,0.948,0.9543
C_D_C1963100 ('Dyspnea  CTCAE'),N,0.0068,0.0232
C_D_C1963100 ('Dyspnea  CTCAE'),P,0.0452,0.0225
C_D_C1963113 ('Fracture  CTCAE'),M,0.9903,0.865
C_D_C1963113 ('Fracture  CTCAE'),N,0.0019,0.0391
C_D_C1963113 ('Fracture  CTCAE'),P,0.0078,0.0959
C_D_C1963138 ('Hypertension  CTCAE'),M,0.8723,0.8069
C_D_C1963138 ('Hypertension  CTCAE'),N,0.0039,0.0024
C_D_C1963138 ('Hypertension  CTCAE'),P,0.1238,0.1907
C_D_C1963140 ('Hypoxia  CTCAE'),M,0.9431,0.9856
C_D_C1963140 ('Hypoxia  CTCAE'),N,0.0084,0.0038
C_D_C1963140 ('Hypoxia  CTCAE'),P,0.0485,0.0106
C_D_C1963177 ('Muscle Pain  CTCAE 3'),M,0.914,0.9473
C_D_C1963177 ('Muscle Pain  CTCAE 3'),N,0.0281,0.0361
C_D_C1963177 ('Muscle Pain  CTCAE 3'),P,0.0579,0.0166
C_D_C1963179 ('Nausea  CTCAE 3.0'),M,0.6619,0.6136
C_D_C1963179 ('Nausea  CTCAE 3.0'),N,0.1345,0.1743
C_D_C1963179 ('Nausea  CTCAE 3.0'),P,0.2036,0.2122
C_D_C1963180 ('Neck Pain  CTCAE 3.0'),M,0.8953,0.8768
C_D_C1963180 ('Neck Pain  CTCAE 3.0'),N,0.0743,0.0641
C_D_C1963180 ('Neck Pain  CTCAE 3.0'),P,0.0304,0.0591
C_D_C1963184 ('Nystagmus  CTCAE 3.0'),M,0.9932,0.9807
C_D_C1963184 ('Nystagmus  CTCAE 3.0'),N,0.0048,0.0151
C_D_C1963184 ('Nystagmus  CTCAE 3.0'),P,0.0019,0.0042
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),M,0.9887,0.9647
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),N,0.0003,0.0017
C_D_C1963198 ('Pancreatitis  CTCAE 3.0'),P,0.011,0.0335
