Feature (description),Attribute,F,T
C_D_C0278134 (Absence of sensation),N,0.0005,0.0004
C_D_C0278134 (Absence of sensation),P,0.0013,0.0191
C_D_C0281856 (Generalized aches and pains),M,0.99,0.9977
C_D_C0281856 (Generalized aches and pains),N,0.0003,0
C_D_C0281856 (Generalized aches and pains),P,0.0097,0.0023
C_D_C0311392 (Physical findings),M,0.9295,0.8372
C_D_C0311392 (Physical findings),N,0.0287,0.0752
C_D_C0311392 (Physical findings),P,0.0419,0.0876
C_D_C0332119 (Past history of),M,0.8021,0.567
C_D_C0332119 (Past history of),N,0.0182,0.0627
C_D_C0332119 (Past history of),P,0.1798,0.3703
C_D_C0332148 (Probable diagnosis),M,0.8705,0.8103
C_D_C0332148 (Probable diagnosis),N,0.0042,0.0047
C_D_C0332148 (Probable diagnosis),P,0.1253,0.185
C_D_C0332149 (Possible),M,0.9263,0.8564
C_D_C0332149 (Possible),N,0.0024,0.0062
C_D_C0332149 (Possible),P,0.0713,0.1374
C_D_C0332167 (High risk of),M,0.9932,0.9965
C_D_C0332167 (High risk of),N,0.0008,0.0007
C_D_C0332167 (High risk of),P,0.0061,0.0028
C_D_C0332218 (Difficult (qualifier value)),M,0.9845,0.9563
C_D_C0332218 (Difficult (qualifier value)),N,0.0018,0.0049
C_D_C0332218 (Difficult (qualifier value)),P,0.0137,0.0388
C_D_C0332461 (Plaque (lesion)),M,0.9876,0.9646
C_D_C0332461 (Plaque (lesion)),N,0.0003,0.0002
C_D_C0332461 (Plaque (lesion)),P,0.0121,0.0352
C_D_C0332516 (Symmetrical),M,0.886,0.7839
C_D_C0332516 (Symmetrical),N,0.0003,0.0002
C_D_C0332516 (Symmetrical),P,0.1137,0.2159
C_D_C0332523 (Retraction (finding)),M,0.9468,0.9055
C_D_C0332523 (Retraction (finding)),N,0.0434,0.0892
C_D_C0332523 (Retraction (finding)),P,0.0097,0.0053
C_D_C0332572 (Abnormal color),M,0.9992,0.9883
C_D_C0332572 (Abnormal color),N,0.0003,0.0018
C_D_C0332572 (Abnormal color),P,0.0005,0.0099
C_D_C0332575 (Redness),M,0.975,0.9109
C_D_C0332575 (Redness),N,0.0082,0.0254
C_D_C0332575 (Redness),P,0.0168,0.0637
C_D_C0333274 (Purulent discharge),M,0.9979,0.9904
C_D_C0333274 (Purulent discharge),N,0.0008,0.0056
C_D_C0333274 (Purulent discharge),P,0.0013,0.004
C_D_C0337671 (Former smoker),M,0.9626,0.9455
C_D_C0337671 (Former smoker),N,0.0011,0.0009
C_D_C0337671 (Former smoker),P,0.0363,0.0536
C_D_C0344232 (Blurred vision),M,0.9839,0.9508
C_D_C0344232 (Blurred vision),N,0.0108,0.0288
C_D_C0344232 (Blurred vision),P,0.0053,0.0203
C_D_C0344307 (Absence of pain sensation),M,0.9982,0.9885
C_D_C0344307 (Absence of pain sensation),N,0.0003,0.0003
C_D_C0344307 (Absence of pain sensation),P,0.0016,0.0111
C_D_C0349790 (Exacerbation of asthma),M,0.9832,0.9922
C_D_C0349790 (Exacerbation of asthma),N,0.0003,0.0001
C_D_C0349790 (Exacerbation of asthma),P,0.0166,0.0077
C_D_C0392171 (Influenza-like symptoms),M,0.9481,0.9993
C_D_C0392171 (Influenza-like symptoms),N,0.0003,0
C_D_C0392171 (Influenza-like symptoms),P,0.0516,0.0006
C_D_C0423006 (Discharge from eye),M,0.9929,0.9912
C_D_C0423006 (Discharge from eye),N,0.0034,0.0002
C_D_C0423006 (Discharge from eye),P,0.0037,0.0086
C_D_C0423602 (Foreign body sensation),M,0.9992,0.9933
C_D_C0423602 (Foreign body sensation),N,0.0003,0.0021
C_D_C0423602 (Foreign body sensation),P,0.0005,0.0046
C_D_C0423636 (Cardiac pain),M,0.9984,0.991
C_D_C0423636 (Cardiac pain),N,0.0003,0.0001
C_D_C0423636 (Cardiac pain),P,0.0013,0.0089
C_D_C0424000 (Feeling suicidal (finding)),M,0.9984,0.9762
C_D_C0424000 (Feeling suicidal (finding)),N,0.0003,0.0068
C_D_C0424000 (Feeling suicidal (finding)),P,0.0013,0.017
C_D_C0424109 (Weepiness),M,0.9982,0.9904
C_D_C0424109 (Weepiness),N,0.0005,0.0002
C_D_C0424109 (Weepiness),P,0.0013,0.0094
C_D_C0424480 (Facial symmetry),M,0.9458,0.8821
C_D_C0424480 (Facial symmetry),N,0.0003,0.0001
C_D_C0424480 (Facial symmetry),P,0.054,0.1178
C_D_C0424755 (Fever symptoms (finding)),M,0.7315,0.6243
C_D_C0424755 (Fever symptoms (finding)),N,0.089,0.2988
C_D_C0424755 (Fever symptoms (finding)),P,0.1795,0.0768
C_D_C0424945 (Social and personal history),M,0.6704,0.3347
C_D_C0424945 (Social and personal history),N,0.0097,0.0278
C_D_C0424945 (Social and personal history),P,0.3198,0.6375
C_D_C0425293 (Never smoked tobacco),M,0.9242,0.8758
C_D_C0425293 (Never smoked tobacco),N,0.0039,0.0079
C_D_C0425293 (Never smoked tobacco),P,0.0719,0.1163
C_D_C0425452 (No obstruction of airway),M,0.8734,0.7297
C_D_C0425452 (No obstruction of airway),N,0.0003,0.0001
C_D_C0425452 (No obstruction of airway),P,0.1263,0.2702
C_D_C0425470 (Intercostal Retractions),M,0.9468,0.9056
C_D_C0425470 (Intercostal Retractions),N,0.0432,0.0891
C_D_C0425470 (Intercostal Retractions),P,0.01,0.0053
C_D_C0425542 (Added respiratory sounds),M,0.9987,0.9999
C_D_C0425542 (Added respiratory sounds),N,0.0005,0
C_D_C0425542 (Added respiratory sounds),P,0.0008,0.0001
C_D_C0425687 (Jugular venous engorgement),M,0.9666,0.9468
C_D_C0425687 (Jugular venous engorgement),N,0.0305,0.0514
C_D_C0425687 (Jugular venous engorgement),P,0.0029,0.0019
C_D_C0425710 (Peripheral perfusion),M,0.9202,0.8783
C_D_C0425710 (Peripheral perfusion),N,0.0003,0.0001
C_D_C0425710 (Peripheral perfusion),P,0.0795,0.1216
C_D_C0426317 (Genitourinary symptoms),M,0.9937,0.9977
C_D_C0426317 (Genitourinary symptoms),N,0.0003,0.0005
C_D_C0426317 (Genitourinary symptoms),P,0.0061,0.0019
C_D_C0426576 (Gastrointestinal symptom),M,0.9921,0.9998
C_D_C0426576 (Gastrointestinal symptom),N,0.0005,0.0001
C_D_C0426576 (Gastrointestinal symptom),P,0.0074,0.0001
C_D_C0428167 (Inspired fraction of oxygen),M,0.7426,0.476
C_D_C0428167 (Inspired fraction of oxygen),N,0.0003,0.0003
C_D_C0428167 (Inspired fraction of oxygen),P,0.2572,0.5237
C_D_C0428465 (Serum lipids high (finding)),M,0.9792,0.9597
C_D_C0428465 (Serum lipids high (finding)),N,0.0005,0.0001
C_D_C0428465 (Serum lipids high (finding)),P,0.0203,0.0401
C_D_C0438141 (Urine screening normal),M,0.9984,0.9997
C_D_C0438141 (Urine screening normal),N,0.0003,0.0001
C_D_C0438141 (Urine screening normal),P,0.0013,0.0002
C_D_C0439044 (Living Alone),M,0.9955,0.9855
C_D_C0439044 (Living Alone),N,0.0005,0.0002
C_D_C0439044 (Living Alone),P,0.0039,0.0143
C_D_C0442735 (Nothing),M,0.9889,0.9656
C_D_C0442735 (Nothing),N,0.0003,0.0002
C_D_C0442735 (Nothing),P,0.0108,0.0342
C_D_C0442739 (No status change),M,0.9431,0.9039
C_D_C0442739 (No status change),N,0.0005,0.0002
C_D_C0442739 (No status change),P,0.0563,0.0959
C_D_C0442757 (3/4),M,0.9874,0.9951
C_D_C0442757 (3/4),N,0.0003,0
C_D_C0442757 (3/4),P,0.0124,0.0049
C_D_C0442816 (Normal limits),M,0.9526,0.9202
C_D_C0442816 (Normal limits),N,0.0003,0.0006
C_D_C0442816 (Normal limits),P,0.0471,0.0792
C_D_C0449820 (Score),M,0.9958,0.9844
C_D_C0449820 (Score),N,0.0005,0.0003
C_D_C0449820 (Score),P,0.0037,0.0153
C_D_C0455204 (Homicidal thoughts),M,0.9984,0.9744
C_D_C0455204 (Homicidal thoughts),N,0.0003,0.0066
C_D_C0455204 (Homicidal thoughts),P,0.0013,0.019
C_D_C0455458 (PMH - past medical history),M,0.7631,0.5009
C_D_C0455458 (PMH - past medical history),N,0.02,0.0363
C_D_C0455458 (PMH - past medical history),P,0.2169,0.4628
C_D_C0455527 (H/O: hypertension),M,0.9755,0.9517
C_D_C0455527 (H/O: hypertension),N,0.0003,0.0006
C_D_C0455527 (H/O: hypertension),P,0.0242,0.0476
C_D_C0455544 (H/O: asthma),M,0.9718,0.9825
C_D_C0455544 (H/O: asthma),N,0.0013,0.0011
C_D_C0455544 (H/O: asthma),P,0.0268,0.0164
C_D_C0455899 (Red throat),M,0.9197,0.9232
C_D_C0455899 (Red throat),N,0.0642,0.0694
C_D_C0455899 (Red throat),P,0.0161,0.0074
C_D_C0455900 (Moist oral mucosa),M,0.9966,0.9961
C_D_C0455900 (Moist oral mucosa),N,0.0003,0
C_D_C0455900 (Moist oral mucosa),P,0.0032,0.0038
C_D_C0456984 (Test Result),M,0.9666,0.9765
C_D_C0456984 (Test Result),N,0.0037,0.0021
C_D_C0456984 (Test Result),P,0.0297,0.0213
C_D_C0457096 (Yellow sputum),M,0.9797,0.9971
C_D_C0457096 (Yellow sputum),N,0.0003,0
C_D_C0457096 (Yellow sputum),P,0.02,0.0029
C_D_C0460139 (Pressure (finding)),M,0.9845,0.9642
C_D_C0460139 (Pressure (finding)),N,0.0003,0.0007
C_D_C0460139 (Pressure (finding)),P,0.0153,0.0351
C_D_C0475806 (1/3 meter (distance vision finding)),M,0.9921,0.973
C_D_C0475806 (1/3 meter (distance vision finding)),N,0.0003,0.0003
C_D_C0475806 (1/3 meter (distance vision finding)),P,0.0076,0.0267
C_D_C0476270 (Cardiovascular symptoms),M,0.9942,0.9998
C_D_C0476270 (Cardiovascular symptoms),N,0.0003,0
C_D_C0476270 (Cardiovascular symptoms),P,0.0055,0.0001
C_D_C0476273 (Respiratory distress),M,0.9445,0.9519
C_D_C0476273 (Respiratory distress),N,0.0176,0.019
C_D_C0476273 (Respiratory distress),P,0.0379,0.0291
C_D_C0489543 (History source),M,0.9903,0.9998
C_D_C0489543 (History source),N,0.0003,0
C_D_C0489543 (History source),P,0.0095,0.0002
C_D_C0489547 (Hospital course),M,0.9216,0.834
C_D_C0489547 (Hospital course),N,0.0003,0.0004
C_D_C0489547 (Hospital course),P,0.0782,0.1656
C_D_C0516979 (energy level),M,0.9992,0.9996
C_D_C0516979 (energy level),N,0.0003,0
C_D_C0516979 (energy level),P,0.0005,0.0003
C_D_C0518014 (Hematocrit level),M,0.9911,0.989
C_D_C0518014 (Hematocrit level),N,0.0003,0.0001
C_D_C0518014 (Hematocrit level),P,0.0087,0.0109
C_D_C0518610 (Social warmth),M,0.9958,0.9652
C_D_C0518610 (Social warmth),N,0.0008,0.0049
C_D_C0518610 (Social warmth),P,0.0034,0.0298
C_D_C0521654 (Neurologic Deficits),M,0.9937,0.9823
C_D_C0521654 (Neurologic Deficits),N,0.0008,0.0059
C_D_C0521654 (Neurologic Deficits),P,0.0055,0.0118
C_D_C0522225 (Normal reflex),M,0.9984,0.9915
C_D_C0522225 (Normal reflex),N,0.0003,0
C_D_C0522225 (Normal reflex),P,0.0013,0.0085
C_D_C0524587 (Mean Corpuscular Volume (result)),M,0.8515,0.768
C_D_C0524587 (Mean Corpuscular Volume (result)),N,0.0003,0.0001
C_D_C0524587 (Mean Corpuscular Volume (result)),P,0.1482,0.2318
C_D_C0542538 (Observation of Sensation),M,0.9626,0.8294
C_D_C0542538 (Observation of Sensation),N,0.0003,0.0028
C_D_C0542538 (Observation of Sensation),P,0.0371,0.1679
C_D_C0549184 (None),M,0.6678,0.3191
C_D_C0549184 (None),N,0.0008,0.0012
C_D_C0549184 (None),P,0.3314,0.6797
C_D_C0549206 (Patient currently pregnant),M,0.9837,0.9876
C_D_C0549206 (Patient currently pregnant),N,0.0008,0.001
C_D_C0549206 (Patient currently pregnant),P,0.0155,0.0114
C_D_C0558145 (Skin appearance normal (finding)),M,0.6875,0.3841
C_D_C0558145 (Skin appearance normal (finding)),N,0.0053,0.0109
C_D_C0558145 (Skin appearance normal (finding)),P,0.3072,0.6049
C_D_C0560184 (Ability to balance),M,0.9976,0.99
C_D_C0560184 (Ability to balance),N,0.0003,0.0009
C_D_C0560184 (Ability to balance),P,0.0021,0.0092
C_D_C0562381 (Victim of abuse finding),M,0.9976,0.9849
C_D_C0562381 (Victim of abuse finding),N,0.0005,0.0005
C_D_C0562381 (Victim of abuse finding),P,0.0018,0.0146
C_D_C0562483 (Persistent cough),M,0.9916,0.9987
C_D_C0562483 (Persistent cough),N,0.0003,0.0001
C_D_C0562483 (Persistent cough),P,0.0082,0.0012
C_D_C0564405 (Feeling relief),M,0.9684,0.9433
C_D_C0564405 (Feeling relief),N,0.01,0.0178
C_D_C0564405 (Feeling relief),P,0.0216,0.0389
C_D_C0566275 (Able to drink),M,0.995,0.9971
C_D_C0566275 (Able to drink),N,0.0003,0
C_D_C0566275 (Able to drink),P,0.0047,0.0029
C_D_C0566415 (Unable to feed self),M,0.96,0.9035
C_D_C0566415 (Unable to feed self),N,0.0005,0.001
C_D_C0566415 (Unable to feed self),P,0.0395,0.0955
C_D_C0577559 (Mass of body structure),M,0.9468,0.8836
C_D_C0577559 (Mass of body structure),N,0.0013,0.0063
C_D_C0577559 (Mass of body structure),P,0.0519,0.11
C_D_C0577573 (Mass of body region),M,0.9474,0.8877
C_D_C0577573 (Mass of body region),N,0.0013,0.0063
C_D_C0577573 (Mass of body region),P,0.0513,0.1059
C_D_C0578022 (Finding of body mass index),M,0.9768,0.9462
C_D_C0578022 (Finding of body mass index),N,0.0003,0
C_D_C0578022 (Finding of body mass index),P,0.0229,0.0538
C_D_C0578150 (Hemodynamically stable),M,0.965,0.9309
C_D_C0578150 (Hemodynamically stable),N,0.0003,0.0003
C_D_C0578150 (Hemodynamically stable),P,0.0347,0.0688
C_D_C0578617 (Pupils equal),M,0.9521,0.8958
C_D_C0578617 (Pupils equal),N,0.0003,0
C_D_C0578617 (Pupils equal),P,0.0476,0.1041
C_D_C0578671 (Does move),M,0.9529,0.9502
C_D_C0578671 (Does move),N,0.0003,0.0002
C_D_C0578671 (Does move),P,0.0469,0.0496
C_D_C0582051 (Feels warm),M,0.7086,0.4392
C_D_C0582051 (Feels warm),N,0.0013,0.0044
C_D_C0582051 (Feels warm),P,0.2901,0.5564
C_D_C0586406 (Eye symptom),M,0.9945,0.9993
C_D_C0586406 (Eye symptom),N,0.0003,0.0001
C_D_C0586406 (Eye symptom),P,0.0053,0.0006
C_D_C0586407 (Skin symptom),M,0.9932,0.9998
C_D_C0586407 (Skin symptom),N,0.0003,0
C_D_C0586407 (Skin symptom),P,0.0066,0.0001
C_D_C0586514 (Discharge status),M,0.9218,0.7889
C_D_C0586514 (Discharge status),N,0.0003,0
C_D_C0586514 (Discharge status),P,0.0779,0.2111
C_D_C0587081 (Laboratory test finding),M,0.7618,0.5922
C_D_C0587081 (Laboratory test finding),N,0.0008,0.0019
C_D_C0587081 (Laboratory test finding),P,0.2374,0.4059
C_D_C0587366 (Urine cocaine level result),M,0.9984,0.9795
C_D_C0587366 (Urine cocaine level result),N,0.0003,0
C_D_C0587366 (Urine cocaine level result),P,0.0013,0.0205
C_D_C0589120 (Follow-up status),M,0.9982,0.9855
C_D_C0589120 (Follow-up status),N,0.0003,0
C_D_C0589120 (Follow-up status),P,0.0016,0.0144
C_D_C0595998 (Household composition),M,0.9637,0.9293
C_D_C0595998 (Household composition),N,0.0003,0.0012
C_D_C0595998 (Household composition),P,0.0361,0.0695
C_D_C0596002 (Observation of reflex),M,0.9955,0.9836
C_D_C0596002 (Observation of reflex),N,0.0003,0.0001
C_D_C0596002 (Observation of reflex),P,0.0042,0.0163
C_D_C0600116 (Does speak),M,0.9958,0.9815
C_D_C0600116 (Does speak),N,0.0003,0.0005
C_D_C0600116 (Does speak),P,0.0039,0.0179
C_D_C0600457 (Gravidity),M,0.9842,0.9876
C_D_C0600457 (Gravidity),N,0.0008,0.0008
C_D_C0600457 (Gravidity),P,0.015,0.0116
C_D_C0683369 (Clouded consciousness),M,0.9666,0.9278
C_D_C0683369 (Clouded consciousness),N,0.0229,0.055
C_D_C0683369 (Clouded consciousness),P,0.0105,0.0172
C_D_C0683521 (Patient Physiological Condition),M,0.9963,0.9863
C_D_C0683521 (Patient Physiological Condition),N,0.0003,0
C_D_C0683521 (Patient Physiological Condition),P,0.0034,0.0137
C_D_C0700153 (Myotonus (finding)),M,0.9995,0.9923
C_D_C0700153 (Myotonus (finding)),N,0.0003,0.0002
C_D_C0700153 (Myotonus (finding)),P,0.0003,0.0075
C_D_C0700292 (Hypoxemia),M,0.9945,0.9987
C_D_C0700292 (Hypoxemia),N,0.0008,0.0004
C_D_C0700292 (Hypoxemia),P,0.0047,0.0009
C_D_C0700327 (Memory observations),M,0.9992,0.9937
C_D_C0700327 (Memory observations),N,0.0003,0.0006
C_D_C0700327 (Memory observations),P,0.0005,0.0057
C_D_C0700590 (Increased sweating),M,0.9905,0.9681
C_D_C0700590 (Increased sweating),N,0.0021,0.0044
C_D_C0700590 (Increased sweating),P,0.0074,0.0275
C_D_C0728899 (Intoxication),M,0.9989,0.9855
C_D_C0728899 (Intoxication),N,0.0003,0.0009
C_D_C0728899 (Intoxication),P,0.0008,0.0137
C_D_C0740418 (Chronic back pain),M,0.9961,0.9857
C_D_C0740418 (Chronic back pain),N,0.0003,0.0003
C_D_C0740418 (Chronic back pain),P,0.0037,0.014
C_D_C0741302 (atypia morphology),M,0.9911,0.9885
C_D_C0741302 (atypia morphology),N,0.0003,0.0006
C_D_C0741302 (atypia morphology),P,0.0087,0.0109
C_D_C0741585 (BODY ACHE),M,0.9882,0.9961
C_D_C0741585 (BODY ACHE),N,0.0003,0
C_D_C0741585 (BODY ACHE),P,0.0116,0.0038
C_D_C0743973 (FEVER HIGH (finding)),M,0.9953,0.9994
C_D_C0743973 (FEVER HIGH (finding)),N,0.0005,0
C_D_C0743973 (FEVER HIGH (finding)),P,0.0042,0.0006
C_D_C0744961 (surgical history),M,0.9334,0.8746
C_D_C0744961 (surgical history),N,0.0005,0.0005
C_D_C0744961 (surgical history),P,0.0661,0.1248
C_D_C0746467 (Current Medication),M,0.9953,0.9848
C_D_C0746467 (Current Medication),N,0.0011,0.0009
C_D_C0746467 (Current Medication),P,0.0037,0.0144
C_D_C0746961 (Oxygen saturation below reference range),M,0.9961,0.9992
C_D_C0746961 (Oxygen saturation below reference range),N,0.0005,0.0001
C_D_C0746961 (Oxygen saturation below reference range),P,0.0034,0.0007
C_D_C0750484 (Confirmation),M,0.9792,0.9587
C_D_C0750484 (Confirmation),N,0.0008,0.0001
C_D_C0750484 (Confirmation),P,0.02,0.0412
C_D_C0751534 (Syncopal Episode),M,0.9963,0.9871
C_D_C0751534 (Syncopal Episode),N,0.0005,0.0008
C_D_C0751534 (Syncopal Episode),P,0.0032,0.0121
C_D_C0805732 (Completion Status),M,0.9966,0.9955
C_D_C0805732 (Completion Status),N,0.0005,0
C_D_C0805732 (Completion Status),P,0.0029,0.0044
C_D_C0808334 (Tube number),M,0.9992,0.9997
C_D_C0808334 (Tube number),N,0.0003,0
C_D_C0808334 (Tube number),P,0.0005,0.0003
C_D_C0849970 (Feeling tired),M,0.9939,0.9964
C_D_C0849970 (Feeling tired),N,0.0003,0
C_D_C0849970 (Feeling tired),P,0.0058,0.0035
C_D_C0850149 (Dry cough),M,0.9389,0.9884
C_D_C0850149 (Dry cough),N,0.0003,0.0002
C_D_C0850149 (Dry cough),P,0.0608,0.0114
C_D_C0850758 (Pelvic pain female),M,0.9984,0.9908
C_D_C0850758 (Pelvic pain female),N,0.0003,0.002
C_D_C0850758 (Pelvic pain female),P,0.0013,0.0073
C_D_C0851511 (family issues),M,0.9937,0.9997
C_D_C0851511 (family issues),N,0.0061,0
C_D_C0851511 (family issues),P,0.0003,0.0003
C_D_C0859927 (Increased work of breathing),M,0.9905,0.9981
C_D_C0859927 (Increased work of breathing),N,0.0021,0.0007
C_D_C0859927 (Increased work of breathing),P,0.0074,0.0011
C_D_C0863146 (Yellow color on exam),M,0.9982,0.9999
C_D_C0863146 (Yellow color on exam),N,0.0003,0
C_D_C0863146 (Yellow color on exam),P,0.0016,0
C_D_C0871269 (Rhythm),M,0.7097,0.409
C_D_C0871269 (Rhythm),N,0.0005,0.0017
C_D_C0871269 (Rhythm),P,0.2898,0.5893
C_D_C0948106 (Rupture of Membranes),M,0.9911,0.9676
C_D_C0948106 (Rupture of Membranes),N,0.0003,0.001
C_D_C0948106 (Rupture of Membranes),P,0.0087,0.0314
C_D_C1260880 (Rhinorrhea),M,0.9131,0.8841
C_D_C1260880 (Rhinorrhea),N,0.0284,0.0713
C_D_C1260880 (Rhinorrhea),P,0.0584,0.0446
C_D_C1261031 (Platelet morphology - result),M,0.9995,0.9998
C_D_C1261031 (Platelet morphology - result),N,0.0003,0
C_D_C1261031 (Platelet morphology - result),P,0.0003,0.0001
C_D_C1261327 (Family history of asthma),M,0.9979,0.9996
C_D_C1261327 (Family history of asthma),N,0.0005,0.0001
C_D_C1261327 (Family history of asthma),P,0.0016,0.0003
C_D_C1261360 (Total protein result),M,0.9073,0.8541
C_D_C1261360 (Total protein result),N,0.0003,0
C_D_C1261360 (Total protein result),P,0.0924,0.1458
C_D_C1265570 (Morphology within normal limits),M,0.9539,0.9212
C_D_C1265570 (Morphology within normal limits),N,0.0003,0.0006
C_D_C1265570 (Morphology within normal limits),P,0.0458,0.0781
C_D_C1277295 (Cough with fever),M,0.9916,0.9992
C_D_C1277295 (Cough with fever),N,0.0003,0.0002
C_D_C1277295 (Cough with fever),P,0.0082,0.0005
C_D_C1279889 (Deterioration of status),M,0.955,0.8915
C_D_C1279889 (Deterioration of status),N,0.0024,0.0059
C_D_C1279889 (Deterioration of status),P,0.0426,0.1027
C_D_C1298907 (Yes - Presence findings),M,0.9355,0.8841
C_D_C1298907 (Yes - Presence findings),N,0.0013,0.0028
C_D_C1298907 (Yes - Presence findings),P,0.0632,0.1131
C_D_C1299487 (Patient name),M,0.9826,0.9635
C_D_C1299487 (Patient name),N,0.0003,0
C_D_C1299487 (Patient name),P,0.0171,0.0364
C_D_C1299581 (Able (finding)),M,0.9495,0.8551
C_D_C1299581 (Able (finding)),N,0.0053,0.0165
C_D_C1299581 (Able (finding)),P,0.0453,0.1284
C_D_C1299582 (Unable),M,0.9587,0.8987
C_D_C1299582 (Unable),N,0.0005,0.0009
C_D_C1299582 (Unable),P,0.0408,0.1004
C_D_C1299586 (Has difficulty doing (qualifier value)),M,0.9745,0.9143
C_D_C1299586 (Has difficulty doing (qualifier value)),N,0.0087,0.0387
C_D_C1299586 (Has difficulty doing (qualifier value)),P,0.0168,0.047
C_D_C1306577 (Death (finding)),M,0.9963,0.987
C_D_C1306577 (Death (finding)),N,0.0003,0.0001
C_D_C1306577 (Death (finding)),P,0.0034,0.0129
C_D_C1314687 (Sexual intercourse - finding),M,0.6689,0.3225
C_D_C1314687 (Sexual intercourse - finding),N,0.0013,0.0036
C_D_C1314687 (Sexual intercourse - finding),P,0.3298,0.674
C_D_C1317600 (patient symptoms),M,0.98,0.9606
C_D_C1317600 (patient symptoms),N,0.0003,0.0003
C_D_C1317600 (patient symptoms),P,0.0197,0.039
C_D_C1320474 (Nuchal Rigidity),M,0.9889,0.991
C_D_C1320474 (Nuchal Rigidity),N,0.0089,0.0077
C_D_C1320474 (Nuchal Rigidity),P,0.0021,0.0013
C_D_C1321013 (Hydration status),M,0.9624,0.983
C_D_C1321013 (Hydration status),N,0.0005,0.0004
C_D_C1321013 (Hydration status),P,0.0371,0.0167
C_D_C1330956 (Base excess result),M,0.9824,0.9942
C_D_C1330956 (Base excess result),N,0.0005,0
C_D_C1330956 (Base excess result),P,0.0171,0.0058
C_D_C1363945 (Therapy Object (animal model)),M,0.9837,0.9831
C_D_C1363945 (Therapy Object (animal model)),N,0.0011,0.0005
C_D_C1363945 (Therapy Object (animal model)),P,0.0153,0.0164
C_D_C1366940 (Tattoo),M,0.9739,0.9451
C_D_C1366940 (Tattoo),N,0.0003,0.0002
C_D_C1366940 (Tattoo),P,0.0258,0.0547
C_D_C1444662 (Discontinued),M,0.9955,0.9803
C_D_C1444662 (Discontinued),N,0.0003,0.0014
C_D_C1444662 (Discontinued),P,0.0042,0.0183
C_D_C1444775 (Sharp sensation quality),M,0.9929,0.9587
C_D_C1444775 (Sharp sensation quality),N,0.0008,0.0007
C_D_C1444775 (Sharp sensation quality),P,0.0063,0.0406
C_D_C1444783 (Instability),M,0.9992,0.9932
C_D_C1444783 (Instability),N,0.0003,0.0011
C_D_C1444783 (Instability),P,0.0005,0.0057
C_D_C1446409 (Positive),M,0.8589,0.8567
C_D_C1446409 (Positive),N,0.0221,0.0576
C_D_C1446409 (Positive),P,0.119,0.0856
C_D_C1446787 (Cramping sensation quality),M,0.9963,0.9862
C_D_C1446787 (Cramping sensation quality),N,0.0003,0.0007
C_D_C1446787 (Cramping sensation quality),P,0.0034,0.0131
C_D_C1457868 (Worse),M,0.9531,0.8789
C_D_C1457868 (Worse),N,0.0024,0.006
C_D_C1457868 (Worse),P,0.0445,0.1151
C_D_C1457887 (Symptoms),M,0.7668,0.6384
C_D_C1457887 (Symptoms),N,0.0182,0.0493
C_D_C1457887 (Symptoms),P,0.2151,0.3123
C_D_C1504561 (Hypophagia),M,0.9947,0.9977
C_D_C1504561 (Hypophagia),N,0.0003,0
C_D_C1504561 (Hypophagia),P,0.005,0.0023
C_D_C1509143 (Physical assessment findings),M,0.9829,0.9735
C_D_C1509143 (Physical assessment findings),N,0.0005,0.0028
C_D_C1509143 (Physical assessment findings),P,0.0166,0.0237
C_D_C1513302 (Mild Adverse Event),M,0.8534,0.7473
C_D_C1513302 (Mild Adverse Event),N,0.0008,0.0025
C_D_C1513302 (Mild Adverse Event),P,0.1458,0.2502
C_D_C1513374 (Moderate Adverse Event),M,0.9566,0.9128
C_D_C1513374 (Moderate Adverse Event),N,0.0005,0.0004
C_D_C1513374 (Moderate Adverse Event),P,0.0429,0.0868
C_D_C1513916 (Negative Finding),M,0.7228,0.4562
C_D_C1513916 (Negative Finding),N,0.0018,0.004
C_D_C1513916 (Negative Finding),P,0.2753,0.5398
C_D_C1514241 (Positive Finding),M,0.895,0.878
C_D_C1514241 (Positive Finding),N,0.0253,0.059
C_D_C1514241 (Positive Finding),P,0.0798,0.063
C_D_C1519275 (Grade 3 Severe Adverse Event),M,0.9642,0.9199
C_D_C1519275 (Grade 3 Severe Adverse Event),N,0.0039,0.0033
C_D_C1519275 (Grade 3 Severe Adverse Event),P,0.0319,0.0768
C_D_C1546419 (Ambulatory Status - Oxygen therapy),M,0.9918,0.9998
C_D_C1546419 (Ambulatory Status - Oxygen therapy),N,0.0005,0
C_D_C1546419 (Ambulatory Status - Oxygen therapy),P,0.0076,0.0001
C_D_C1548428 (Referral type - Psychiatric),M,0.8128,0.6376
C_D_C1548428 (Referral type - Psychiatric),N,0.0003,0.0011
C_D_C1548428 (Referral type - Psychiatric),P,0.1869,0.3612
C_D_C1549105 (Unknown - Administrative Gender),M,0.9855,0.9634
C_D_C1549105 (Unknown - Administrative Gender),N,0.0005,0.0001
C_D_C1549105 (Unknown - Administrative Gender),P,0.014,0.0365
C_D_C1549113 (Marital Status - Single),M,0.9924,0.9807
C_D_C1549113 (Marital Status - Single),N,0.0003,0.0003
C_D_C1549113 (Marital Status - Single),P,0.0074,0.019
C_D_C1549115 (Marital Status - Unknown),M,0.9855,0.9634
C_D_C1549115 (Marital Status - Unknown),N,0.0005,0.0001
C_D_C1549115 (Marital Status - Unknown),P,0.014,0.0365
C_D_C1550457 (Normal Observation Interpretation),M,0.6875,0.3866
